t=1, n=36, r=2, m=41, rp=0 ---------> 4.26397e-05
t=0, n=37, r=2, m=41, rp=0 ---------> 6.37342e-05
t=1, n=37, r=2, m=41, rp=0 ---------> 0.000139099
t=0, n=38, r=2, m=41, rp=0 ---------> 0.000305077
t=1, n=38, r=2, m=41, rp=0 ---------> 0.000168192
t=0, n=39, r=2, m=41, rp=0 ---------> 0.000225629
t=1, n=39, r=2, m=41, rp=0 ---------> 0.000202858
t=0, n=40, r=2, m=41, rp=0 ---------> 9.76449e-05
t=1, n=40, r=2, m=41, rp=0 ---------> 0.000122464
t=0, n=41, r=2, m=41, rp=0 ---------> 0.000223729
t=1, n=41, r=2, m=41, rp=0 ---------> 0.000137889
t=0, n=42, r=2, m=41, rp=0 ---------> 0.000166921
t=1, n=42, r=2, m=41, rp=0 ---------> 0.000210864
t=0, n=43, r=2, m=41, rp=0 ---------> 7.53027e-05
t=1, n=43, r=2, m=41, rp=0 ---------> 5.55278e-05
t=0, n=44, r=2, m=41, rp=0 ---------> -1.20029e-05
t=1, n=44, r=2, m=41, rp=0 ---------> -1.22339e-05
t=0, n=0, r=3, m=41, rp=0 ---------> -0.000487301
t=1, n=0, r=3, m=41, rp=0 ---------> -0.000648417
t=0, n=1, r=3, m=41, rp=0 ---------> -0.00129626
t=1, n=1, r=3, m=41, rp=0 ---------> -0.00103072
t=0, n=2, r=3, m=41, rp=0 ---------> -0.00200596
t=1, n=2, r=3, m=41, rp=0 ---------> -0.000823438
t=0, n=3, r=3, m=41, rp=0 ---------> -0.00104689
t=1, n=3, r=3, m=41, rp=0 ---------> -0.00129821
t=0, n=4, r=3, m=41, rp=0 ---------> 0.000148395
t=1, n=4, r=3, m=41, rp=0 ---------> -0.00073882
t=0, n=5, r=3, m=41, rp=0 ---------> -0.000169097
t=1, n=5, r=3, m=41, rp=0 ---------> -0.00119618
t=0, n=6, r=3, m=41, rp=0 ---------> -0.00155024
t=1, n=6, r=3, m=41, rp=0 ---------> -0.000594814
t=0, n=7, r=3, m=41, rp=0 ---------> -0.00043369
t=1, n=7, r=3, m=41, rp=0 ---------> -0.000664854
t=0, n=8, r=3, m=41, rp=0 ---------> -0.000760433
t=1, n=8, r=3, m=41, rp=0 ---------> -0.00116084
t=0, n=9, r=3, m=41, rp=0 ---------> -0.00232835
t=1, n=9, r=3, m=41, rp=0 ---------> -0.00056732
t=0, n=10, r=3, m=41, rp=0 ---------> -0.00071356
t=1, n=10, r=3, m=41, rp=0 ---------> -0.000723616
t=0, n=11, r=3, m=41, rp=0 ---------> -9.5624e-05
t=1, n=11, r=3, m=41, rp=0 ---------> -0.00059534
t=0, n=12, r=3, m=41, rp=0 ---------> -0.000217201
t=1, n=12, r=3, m=41, rp=0 ---------> -0.000514224
t=0, n=13, r=3, m=41, rp=0 ---------> -0.0016499
t=1, n=13, r=3, m=41, rp=0 ---------> -0.000816538
t=0, n=14, r=3, m=41, rp=0 ---------> -0.000352125
t=1, n=14, r=3, m=41, rp=0 ---------> -0.000924992
t=0, n=15, r=3, m=41, rp=0 ---------> -0.000604887
t=1, n=15, r=3, m=41, rp=0 ---------> -0.000596515
t=0, n=16, r=3, m=41, rp=0 ---------> 0.000327606
t=1, n=16, r=3, m=41, rp=0 ---------> -0.00034048
t=0, n=17, r=3, m=41, rp=0 ---------> -0.000300487
t=1, n=17, r=3, m=41, rp=0 ---------> -0.000642514
t=0, n=18, r=3, m=41, rp=0 ---------> 8.32072e-05
t=1, n=18, r=3, m=41, rp=0 ---------> 0.000174656
t=0, n=19, r=3, m=41, rp=0 ---------> 4.86975e-05
t=1, n=19, r=3, m=41, rp=0 ---------> 0.000131626
t=0, n=20, r=3, m=41, rp=0 ---------> 8.54118e-05
t=1, n=20, r=3, m=41, rp=0 ---------> -0.000953554
t=0, n=21, r=3, m=41, rp=0 ---------> 0.000615689
t=1, n=21, r=3, m=41, rp=0 ---------> -0.000780971
t=0, n=22, r=3, m=41, rp=0 ---------> 0.000289646
t=1, n=22, r=3, m=41, rp=0 ---------> -0.00151122
t=0, n=23, r=3, m=41, rp=0 ---------> 9.99088e-05
t=1, n=23, r=3, m=41, rp=0 ---------> -0.00105673
t=0, n=24, r=3, m=41, rp=0 ---------> -0.000204467
t=1, n=24, r=3, m=41, rp=0 ---------> -0.00116578
t=0, n=25, r=3, m=41, rp=0 ---------> -0.00118008
t=1, n=25, r=3, m=41, rp=0 ---------> -0.00111119
t=0, n=26, r=3, m=41, rp=0 ---------> 0.000146126
t=1, n=26, r=3, m=41, rp=0 ---------> -0.000703215
t=0, n=27, r=3, m=41, rp=0 ---------> -0.000843204
t=1, n=27, r=3, m=41, rp=0 ---------> -0.000781207
t=0, n=28, r=3, m=41, rp=0 ---------> -0.000571878
t=1, n=28, r=3, m=41, rp=0 ---------> -0.000158965
t=0, n=29, r=3, m=41, rp=0 ---------> 0.000616526
t=1, n=29, r=3, m=41, rp=0 ---------> -0.00086426
t=0, n=30, r=3, m=41, rp=0 ---------> -0.00121764
t=1, n=30, r=3, m=41, rp=0 ---------> 9.93288e-05
t=0, n=31, r=3, m=41, rp=0 ---------> -0.000170537
t=1, n=31, r=3, m=41, rp=0 ---------> -0.000551118
t=0, n=32, r=3, m=41, rp=0 ---------> -0.000745061
t=1, n=32, r=3, m=41, rp=0 ---------> -0.000502034
t=0, n=33, r=3, m=41, rp=0 ---------> -0.000553346
t=1, n=33, r=3, m=41, rp=0 ---------> -0.000283131
t=0, n=34, r=3, m=41, rp=0 ---------> -3.91044e-05
t=1, n=34, r=3, m=41, rp=0 ---------> -0.000296956
t=0, n=35, r=3, m=41, rp=0 ---------> -0.000409951
t=1, n=35, r=3, m=41, rp=0 ---------> -0.000489288
t=0, n=36, r=3, m=41, rp=0 ---------> 0.000119
t=1, n=36, r=3, m=41, rp=0 ---------> -0.000207506
t=0, n=37, r=3, m=41, rp=0 ---------> -0.000153305
t=1, n=37, r=3, m=41, rp=0 ---------> -0.000943789
t=0, n=38, r=3, m=41, rp=0 ---------> -0.000878186
t=1, n=38, r=3, m=41, rp=0 ---------> -0.000715987
t=0, n=39, r=3, m=41, rp=0 ---------> -0.000775846
t=1, n=39, r=3, m=41, rp=0 ---------> -0.000893416
t=0, n=40, r=3, m=41, rp=0 ---------> -0.00122177
t=1, n=40, r=3, m=41, rp=0 ---------> -6.53241e-05
t=0, n=41, r=3, m=41, rp=0 ---------> 2.18151e-05
t=1, n=41, r=3, m=41, rp=0 ---------> -0.000428403
t=0, n=42, r=3, m=41, rp=0 ---------> 0.000394451
t=1, n=42, r=3, m=41, rp=0 ---------> -0.000660016
t=0, n=43, r=3, m=41, rp=0 ---------> -3.26999e-05
t=1, n=43, r=3, m=41, rp=0 ---------> 0.000149541
t=0, n=44, r=3, m=41, rp=0 ---------> 0.00148538
t=1, n=44, r=3, m=41, rp=0 ---------> -0.000658974
t=0, n=0, r=0, m=42, rp=0 ---------> 0.000213846
t=1, n=0, r=0, m=42, rp=0 ---------> -1.82366e-05
t=0, n=1, r=0, m=42, rp=0 ---------> -2.9072e-05
t=1, n=1, r=0, m=42, rp=0 ---------> -1.61473e-05
t=0, n=2, r=0, m=42, rp=0 ---------> -3.79652e-05
t=1, n=2, r=0, m=42, rp=0 ---------> -3.89164e-05
t=0, n=3, r=0, m=42, rp=0 ---------> 0.000135047
t=1, n=3, r=0, m=42, rp=0 ---------> -6.95826e-05
t=0, n=4, r=0, m=42, rp=0 ---------> -1.23731e-05
t=1, n=4, r=0, m=42, rp=0 ---------> -1.64716e-06
t=0, n=5, r=0, m=42, rp=0 ---------> 0.000131995
t=1, n=5, r=0, m=42, rp=0 ---------> -7.17778e-05
t=0, n=6, r=0, m=42, rp=0 ---------> 0.000167105
t=1, n=6, r=0, m=42, rp=0 ---------> 2.82986e-05
t=0, n=7, r=0, m=42, rp=0 ---------> 8.99299e-05
t=1, n=7, r=0, m=42, rp=0 ---------> -2.84612e-06
t=0, n=8, r=0, m=42, rp=0 ---------> 0.000121066
t=1, n=8, r=0, m=42, rp=0 ---------> -8.14047e-05
t=0, n=9, r=0, m=42, rp=0 ---------> 0.000118352
t=1, n=9, r=0, m=42, rp=0 ---------> 7.23207e-06
t=0, n=10, r=0, m=42, rp=0 ---------> 0.000110128
t=1, n=10, r=0, m=42, rp=0 ---------> -5.97304e-06
t=0, n=11, r=0, m=42, rp=0 ---------> 6.58733e-05
t=1, n=11, r=0, m=42, rp=0 ---------> -1.49099e-05
t=0, n=12, r=0, m=42, rp=0 ---------> 8.4837e-05
t=1, n=12, r=0, m=42, rp=0 ---------> -3.4695e-05
t=0, n=13, r=0, m=42, rp=0 ---------> 0.00010633
t=1, n=13, r=0, m=42, rp=0 ---------> 3.19037e-05
t=0, n=14, r=0, m=42, rp=0 ---------> -8.01397e-05
t=1, n=14, r=0, m=42, rp=0 ---------> 1.81732e-05
t=0, n=15, r=0, m=42, rp=0 ---------> 0.000256142
t=1, n=15, r=0, m=42, rp=0 ---------> -6.20836e-05
t=0, n=16, r=0, m=42, rp=0 ---------> 0.000273586
t=1, n=16, r=0, m=42, rp=0 ---------> -9.866e-05
t=0, n=17, r=0, m=42, rp=0 ---------> -5.23725e-05
t=1, n=17, r=0, m=42, rp=0 ---------> -7.97206e-05
t=0, n=18, r=0, m=42, rp=0 ---------> 9.97273e-05
t=1, n=18, r=0, m=42, rp=0 ---------> -3.25359e-05
t=0, n=19, r=0, m=42, rp=0 ---------> 1.48071e-05
t=1, n=19, r=0, m=42, rp=0 ---------> 1.68884e-05
t=0, n=20, r=0, m=42, rp=0 ---------> 9.57665e-05
t=1, n=20, r=0, m=42, rp=0 ---------> -4.64754e-05
t=0, n=21, r=0, m=42, rp=0 ---------> 2.91937e-05
t=1, n=21, r=0, m=42, rp=0 ---------> -6.0368e-05
t=0, n=22, r=0, m=42, rp=0 ---------> 0.000134577
t=1, n=22, r=0, m=42, rp=0 ---------> -3.71563e-05
t=0, n=23, r=0, m=42, rp=0 ---------> -7.57835e-05
t=1, n=23, r=0, m=42, rp=0 ---------> -8.8411e-05
t=0, n=24, r=0, m=42, rp=0 ---------> 0.000261522
t=1, n=24, r=0, m=42, rp=0 ---------> -0.000104685
t=0, n=25, r=0, m=42, rp=0 ---------> 0.000122716
t=1, n=25, r=0, m=42, rp=0 ---------> -0.000112282
t=0, n=26, r=0, m=42, rp=0 ---------> 2.12712e-05
t=1, n=26, r=0, m=42, rp=0 ---------> -4.69453e-05
t=0, n=27, r=0, m=42, rp=0 ---------> 6.38418e-05
t=1, n=27, r=0, m=42, rp=0 ---------> -8.57884e-05
t=0, n=28, r=0, m=42, rp=0 ---------> 0.000324675
t=1, n=28, r=0, m=42, rp=0 ---------> -1.45053e-05
t=0, n=29, r=0, m=42, rp=0 ---------> -2.13746e-05
t=1, n=29, r=0, m=42, rp=0 ---------> -4.1749e-05
t=0, n=30, r=0, m=42, rp=0 ---------> 0.000203777
t=1, n=30, r=0, m=42, rp=0 ---------> -7.86013e-06
t=0, n=31, r=0, m=42, rp=0 ---------> -3.58679e-05
t=1, n=31, r=0, m=42, rp=0 ---------> 3.99804e-05
t=0, n=32, r=0, m=42, rp=0 ---------> 0.000202689
t=1, n=32, r=0, m=42, rp=0 ---------> 1.91221e-05
t=0, n=33, r=0, m=42, rp=0 ---------> -6.89689e-05
t=1, n=33, r=0, m=42, rp=0 ---------> -7.41286e-06
t=0, n=34, r=0, m=42, rp=0 ---------> -8.93924e-05
t=1, n=34, r=0, m=42, rp=0 ---------> -0.000112398
t=0, n=35, r=0, m=42, rp=0 ---------> 1.33556e-05
t=1, n=35, r=0, m=42, rp=0 ---------> -2.95854e-05
t=0, n=36, r=0, m=42, rp=0 ---------> 6.38197e-05
t=1, n=36, r=0, m=42, rp=0 ---------> 1.32903e-05
t=0, n=37, r=0, m=42, rp=0 ---------> 9.91208e-05
t=1, n=37, r=0, m=42, rp=0 ---------> 6.22865e-05
t=0, n=38, r=0, m=42, rp=0 ---------> 0.000145047
t=1, n=38, r=0, m=42, rp=0 ---------> 2.3902e-05
t=0, n=39, r=0, m=42, rp=0 ---------> 7.37954e-05
t=1, n=39, r=0, m=42, rp=0 ---------> 4.14047e-05
t=0, n=40, r=0, m=42, rp=0 ---------> 0.0001047
t=1, n=40, r=0, m=42, rp=0 ---------> -2.70808e-05
t=0, n=41, r=0, m=42, rp=0 ---------> 0.000184542
t=1, n=41, r=0, m=42, rp=0 ---------> -6.25597e-05
t=0, n=42, r=0, m=42, rp=0 ---------> 9.00221e-05
t=1, n=42, r=0, m=42, rp=0 ---------> -6.17062e-05
t=0, n=43, r=0, m=42, rp=0 ---------> 6.03311e-05
t=1, n=43, r=0, m=42, rp=0 ---------> -3.1513e-05
t=0, n=44, r=0, m=42, rp=0 ---------> 1.38115e-05
t=1, n=44, r=0, m=42, rp=0 ---------> 4.08739e-05
t=0, n=0, r=1, m=42, rp=0 ---------> -0.0016877
t=1, n=0, r=1, m=42, rp=0 ---------> 0.00239871
t=0, n=1, r=1, m=42, rp=0 ---------> -0.00146844
t=1, n=1, r=1, m=42, rp=0 ---------> -0.000270622
t=0, n=2, r=1, m=42, rp=0 ---------> -0.00176228
t=1, n=2, r=1, m=42, rp=0 ---------> -0.000497337
t=0, n=3, r=1, m=42, rp=0 ---------> -0.00168791
t=1, n=3, r=1, m=42, rp=0 ---------> 6.84753e-05
t=0, n=4, r=1, m=42, rp=0 ---------> -0.00197989
t=1, n=4, r=1, m=42, rp=0 ---------> 0.00186153
t=0, n=5, r=1, m=42, rp=0 ---------> -0.000748531
t=1, n=5, r=1, m=42, rp=0 ---------> -0.000174261
t=0, n=6, r=1, m=42, rp=0 ---------> -0.000996188
t=1, n=6, r=1, m=42, rp=0 ---------> 0.00123133
t=0, n=7, r=1, m=42, rp=0 ---------> -0.000676625
t=1, n=7, r=1, m=42, rp=0 ---------> 0.00115505
t=0, n=8, r=1, m=42, rp=0 ---------> -0.00135946
t=1, n=8, r=1, m=42, rp=0 ---------> -0.000208766
t=0, n=9, r=1, m=42, rp=0 ---------> -0.00153057
t=1, n=9, r=1, m=42, rp=0 ---------> 0.00139771
t=0, n=10, r=1, m=42, rp=0 ---------> -0.000629471
t=1, n=10, r=1, m=42, rp=0 ---------> 0.00014689
t=0, n=11, r=1, m=42, rp=0 ---------> -0.000351176
t=1, n=11, r=1, m=42, rp=0 ---------> 0.000562723
t=0, n=12, r=1, m=42, rp=0 ---------> -0.00114242
t=1, n=12, r=1, m=42, rp=0 ---------> 0.00057097
t=0, n=13, r=1, m=42, rp=0 ---------> -0.000211643
t=1, n=13, r=1, m=42, rp=0 ---------> 0.000463158
t=0, n=14, r=1, m=42, rp=0 ---------> -0.001044
t=1, n=14, r=1, m=42, rp=0 ---------> -3.36512e-05
t=0, n=15, r=1, m=42, rp=0 ---------> -0.0025467
t=1, n=15, r=1, m=42, rp=0 ---------> 0.00193257
t=0, n=16, r=1, m=42, rp=0 ---------> -0.00059722
t=1, n=16, r=1, m=42, rp=0 ---------> 0.000475204
t=0, n=17, r=1, m=42, rp=0 ---------> -0.000846644
t=1, n=17, r=1, m=42, rp=0 ---------> -0.000563333
t=0, n=18, r=1, m=42, rp=0 ---------> -0.000467119
t=1, n=18, r=1, m=42, rp=0 ---------> 0.00188677
t=0, n=19, r=1, m=42, rp=0 ---------> -0.000538193
t=1, n=19, r=1, m=42, rp=0 ---------> 0.00179783
t=0, n=20, r=1, m=42, rp=0 ---------> -0.000908731
t=1, n=20, r=1, m=42, rp=0 ---------> 0.000222499
t=0, n=21, r=1, m=42, rp=0 ---------> 0.000424177
t=1, n=21, r=1, m=42, rp=0 ---------> -0.000815819
t=0, n=22, r=1, m=42, rp=0 ---------> -0.00170129
t=1, n=22, r=1, m=42, rp=0 ---------> 0.00175318
t=0, n=23, r=1, m=42, rp=0 ---------> -2.5293e-05
t=1, n=23, r=1, m=42, rp=0 ---------> -0.000587831
t=0, n=24, r=1, m=42, rp=0 ---------> -0.00234245
t=1, n=24, r=1, m=42, rp=0 ---------> 0.00211155
t=0, n=25, r=1, m=42, rp=0 ---------> -0.0016026
t=1, n=25, r=1, m=42, rp=0 ---------> 0.000312894
t=0, n=26, r=1, m=42, rp=0 ---------> 0.000183482
t=1, n=26, r=1, m=42, rp=0 ---------> -0.00022809
t=0, n=27, r=1, m=42, rp=0 ---------> -0.00108082
t=1, n=27, r=1, m=42, rp=0 ---------> 0.000465715
t=0, n=28, r=1, m=42, rp=0 ---------> -0.000983144
t=1, n=28, r=1, m=42, rp=0 ---------> 0.00183458
t=0, n=29, r=1, m=42, rp=0 ---------> -0.00112771
t=1, n=29, r=1, m=42, rp=0 ---------> 0.000912846
t=0, n=30, r=1, m=42, rp=0 ---------> -0.00166886
t=1, n=30, r=1, m=42, rp=0 ---------> 0.00196458
t=0, n=31, r=1, m=42, rp=0 ---------> -0.00120246
t=1, n=31, r=1, m=42, rp=0 ---------> 0.00141539
t=0, n=32, r=1, m=42, rp=0 ---------> -0.0022672
t=1, n=32, r=1, m=42, rp=0 ---------> 0.00242856
t=0, n=33, r=1, m=42, rp=0 ---------> -0.000201391
t=1, n=33, r=1, m=42, rp=0 ---------> -0.000574196
t=0, n=34, r=1, m=42, rp=0 ---------> -0.000968233
t=1, n=34, r=1, m=42, rp=0 ---------> 0.00109449
t=0, n=35, r=1, m=42, rp=0 ---------> -0.000391304
t=1, n=35, r=1, m=42, rp=0 ---------> 1.4323e-05
t=0, n=36, r=1, m=42, rp=0 ---------> -0.000888775
t=1, n=36, r=1, m=42, rp=0 ---------> 0.00173244
t=0, n=37, r=1, m=42, rp=0 ---------> -0.00120119
t=1, n=37, r=1, m=42, rp=0 ---------> 7.44173e-05
t=0, n=38, r=1, m=42, rp=0 ---------> -0.00218802
t=1, n=38, r=1, m=42, rp=0 ---------> 0.00177888
t=0, n=39, r=1, m=42, rp=0 ---------> -0.00218601
t=1, n=39, r=1, m=42, rp=0 ---------> 0.000889095
t=0, n=40, r=1, m=42, rp=0 ---------> -0.00131949
t=1, n=40, r=1, m=42, rp=0 ---------> 0.00166376
t=0, n=41, r=1, m=42, rp=0 ---------> -0.00111297
t=1, n=41, r=1, m=42, rp=0 ---------> 0.00148444
t=0, n=42, r=1, m=42, rp=0 ---------> -0.0010664
t=1, n=42, r=1, m=42, rp=0 ---------> 0.000993027
t=0, n=43, r=1, m=42, rp=0 ---------> -0.00032539
t=1, n=43, r=1, m=42, rp=0 ---------> 0.00107886
t=0, n=44, r=1, m=42, rp=0 ---------> 0.00155079
t=1, n=44, r=1, m=42, rp=0 ---------> -0.00126281
t=0, n=0, r=2, m=42, rp=0 ---------> 0.000257299
t=1, n=0, r=2, m=42, rp=0 ---------> -3.16004e-05
t=0, n=1, r=2, m=42, rp=0 ---------> 0.00010404
t=1, n=1, r=2, m=42, rp=0 ---------> -1.16285e-05
t=0, n=2, r=2, m=42, rp=0 ---------> 0.000251484
t=1, n=2, r=2, m=42, rp=0 ---------> 1.54098e-05
t=0, n=3, r=2, m=42, rp=0 ---------> 0.000192197
t=1, n=3, r=2, m=42, rp=0 ---------> 2.98186e-06
t=0, n=4, r=2, m=42, rp=0 ---------> 8.07992e-05
t=1, n=4, r=2, m=42, rp=0 ---------> 4.97779e-05
t=0, n=5, r=2, m=42, rp=0 ---------> 0.0001944
t=1, n=5, r=2, m=42, rp=0 ---------> 1.63381e-05
t=0, n=6, r=2, m=42, rp=0 ---------> 0.000113678
t=1, n=6, r=2, m=42, rp=0 ---------> -1.78197e-06
t=0, n=7, r=2, m=42, rp=0 ---------> 7.88108e-05
t=1, n=7, r=2, m=42, rp=0 ---------> -1.56611e-05
t=0, n=8, r=2, m=42, rp=0 ---------> 0.000197386
t=1, n=8, r=2, m=42, rp=0 ---------> -2.7113e-05
t=0, n=9, r=2, m=42, rp=0 ---------> 0.000279061
t=1, n=9, r=2, m=42, rp=0 ---------> 3.09e-05
t=0, n=10, r=2, m=42, rp=0 ---------> 7.57192e-05
t=1, n=10, r=2, m=42, rp=0 ---------> 5.48339e-05
t=0, n=11, r=2, m=42, rp=0 ---------> 0.000220989
t=1, n=11, r=2, m=42, rp=0 ---------> -2.75212e-05
t=0, n=12, r=2, m=42, rp=0 ---------> 7.95377e-05
t=1, n=12, r=2, m=42, rp=0 ---------> -7.94465e-06
t=0, n=13, r=2, m=42, rp=0 ---------> 8.50451e-05
t=1, n=13, r=2, m=42, rp=0 ---------> 1.20621e-05
t=0, n=14, r=2, m=42, rp=0 ---------> 0.000126318
t=1, n=14, r=2, m=42, rp=0 ---------> 4.25564e-05
t=0, n=15, r=2, m=42, rp=0 ---------> 0.000244567
t=1, n=15, r=2, m=42, rp=0 ---------> -1.84646e-05
t=0, n=16, r=2, m=42, rp=0 ---------> 5.89188e-05
t=1, n=16, r=2, m=42, rp=0 ---------> -6.74358e-05
t=0, n=17, r=2, m=42, rp=0 ---------> 0.000148977
t=1, n=17, r=2, m=42, rp=0 ---------> -4.04125e-05
t=0, n=18, r=2, m=42, rp=0 ---------> 0.000142268
t=1, n=18, r=2, m=42, rp=0 ---------> -4.10386e-05
t=0, n=19, r=2, m=42, rp=0 ---------> 8.4077e-05
t=1, n=19, r=2, m=42, rp=0 ---------> 1.77121e-05
t=0, n=20, r=2, m=42, rp=0 ---------> 0.000124607
t=1, n=20, r=2, m=42, rp=0 ---------> 9.16293e-06
t=0, n=21, r=2, m=42, rp=0 ---------> 6.88559e-05
t=1, n=21, r=2, m=42, rp=0 ---------> -8.48284e-06
t=0, n=22, r=2, m=42, rp=0 ---------> 0.000198568
t=1, n=22, r=2, m=42, rp=0 ---------> 2.71427e-05
t=0, n=23, r=2, m=42, rp=0 ---------> 0.000111204
t=1, n=23, r=2, m=42, rp=0 ---------> 2.95142e-05
t=0, n=24, r=2, m=42, rp=0 ---------> 0.000226282
t=1, n=24, r=2, m=42, rp=0 ---------> -3.42249e-06
t=0, n=25, r=2, m=42, rp=0 ---------> 0.000215734
t=1, n=25, r=2, m=42, rp=0 ---------> -1.4601e-05
t=0, n=26, r=2, m=42, rp=0 ---------> 0.000172876
t=1, n=26, r=2, m=42, rp=0 ---------> -1.94766e-05
t=0, n=27, r=2, m=42, rp=0 ---------> 0.000144938
t=1, n=27, r=2, m=42, rp=0 ---------> -4.18326e-05
t=0, n=28, r=2, m=42, rp=0 ---------> 0.00020071
t=1, n=28, r=2, m=42, rp=0 ---------> -3.72762e-05
t=0, n=29, r=2, m=42, rp=0 ---------> 7.43482e-05
t=1, n=29, r=2, m=42, rp=0 ---------> 3.46039e-05
t=0, n=30, r=2, m=42, rp=0 ---------> 0.000301402
t=1, n=30, r=2, m=42, rp=0 ---------> -1.14518e-05
t=0, n=31, r=2, m=42, rp=0 ---------> 0.000155897
t=1, n=31, r=2, m=42, rp=0 ---------> 7.51981e-05
t=0, n=32, r=2, m=42, rp=0 ---------> 0.000216153
t=1, n=32, r=2, m=42, rp=0 ---------> 5.72389e-05
t=0, n=33, r=2, m=42, rp=0 ---------> 7.51975e-05
t=1, n=33, r=2, m=42, rp=0 ---------> 8.29948e-06
t=0, n=34, r=2, m=42, rp=0 ---------> 0.000159458
t=1, n=34, r=2, m=42, rp=0 ---------> -3.46914e-05
t=0, n=35, r=2, m=42, rp=0 ---------> 8.35317e-05
t=1, n=35, r=2, m=42, rp=0 ---------> -1.80386e-06
t=0, n=36, r=2, m=42, rp=0 ---------> 5.22753e-05
t=1, n=36, r=2, m=42, rp=0 ---------> 3.7268e-06
t=0, n=37, r=2, m=42, rp=0 ---------> 0.000175359
t=1, n=37, r=2, m=42, rp=0 ---------> 5.9158e-05
t=0, n=38, r=2, m=42, rp=0 ---------> 8.80517e-05
t=1, n=38, r=2, m=42, rp=0 ---------> 1.12349e-05
t=0, n=39, r=2, m=42, rp=0 ---------> 0.00014026
t=1, n=39, r=2, m=42, rp=0 ---------> 1.78646e-05
t=0, n=40, r=2, m=42, rp=0 ---------> 0.000156815
t=1, n=40, r=2, m=42, rp=0 ---------> -5.40377e-06
t=0, n=41, r=2, m=42, rp=0 ---------> 7.81353e-05
t=1, n=41, r=2, m=42, rp=0 ---------> -2.0775e-05
t=0, n=42, r=2, m=42, rp=0 ---------> 0.00010937
t=1, n=42, r=2, m=42, rp=0 ---------> -1.47219e-05
t=0, n=43, r=2, m=42, rp=0 ---------> 0.000131387
t=1, n=43, r=2, m=42, rp=0 ---------> -5.68061e-05
t=0, n=44, r=2, m=42, rp=0 ---------> 1.38115e-05
t=1, n=44, r=2, m=42, rp=0 ---------> 4.08739e-05
t=0, n=0, r=3, m=42, rp=0 ---------> -5.05714e-05
t=1, n=0, r=3, m=42, rp=0 ---------> -0.00156907
t=0, n=1, r=3, m=42, rp=0 ---------> 9.95821e-05
t=1, n=1, r=3, m=42, rp=0 ---------> -0.000979841
t=0, n=2, r=3, m=42, rp=0 ---------> 0.000504802
t=1, n=2, r=3, m=42, rp=0 ---------> -0.00136149
t=0, n=3, r=3, m=42, rp=0 ---------> -2.67326e-05
t=1, n=3, r=3, m=42, rp=0 ---------> -0.00167431
t=0, n=4, r=3, m=42, rp=0 ---------> 2.21836e-05
t=1, n=4, r=3, m=42, rp=0 ---------> -0.00158692
t=0, n=5, r=3, m=42, rp=0 ---------> -0.000515347
t=1, n=5, r=3, m=42, rp=0 ---------> -0.00224962
t=0, n=6, r=3, m=42, rp=0 ---------> -0.000671814
t=1, n=6, r=3, m=42, rp=0 ---------> -1.93361e-05
t=0, n=7, r=3, m=42, rp=0 ---------> -0.000717354
t=1, n=7, r=3, m=42, rp=0 ---------> -0.000632024
t=0, n=8, r=3, m=42, rp=0 ---------> 0.000838117
t=1, n=8, r=3, m=42, rp=0 ---------> -0.00174645
t=0, n=9, r=3, m=42, rp=0 ---------> 1.86155e-05
t=1, n=9, r=3, m=42, rp=0 ---------> -0.000423473
t=0, n=10, r=3, m=42, rp=0 ---------> -0.000670921
t=1, n=10, r=3, m=42, rp=0 ---------> -0.000672353
t=0, n=11, r=3, m=42, rp=0 ---------> -0.000305016
t=1, n=11, r=3, m=42, rp=0 ---------> -0.00174088
t=0, n=12, r=3, m=42, rp=0 ---------> -9.49587e-05
t=1, n=12, r=3, m=42, rp=0 ---------> -0.00100259
t=0, n=13, r=3, m=42, rp=0 ---------> -0.000388406
t=1, n=13, r=3, m=42, rp=0 ---------> -0.000204207
t=0, n=14, r=3, m=42, rp=0 ---------> 0.000434773
t=1, n=14, r=3, m=42, rp=0 ---------> -0.000884929
t=0, n=15, r=3, m=42, rp=0 ---------> 0.000933723
t=1, n=15, r=3, m=42, rp=0 ---------> -0.00252796
t=0, n=16, r=3, m=42, rp=0 ---------> 0.000347185
t=1, n=16, r=3, m=42, rp=0 ---------> -0.00142727
t=0, n=17, r=3, m=42, rp=0 ---------> 0.000537794
t=1, n=17, r=3, m=42, rp=0 ---------> -0.00145879
t=0, n=18, r=3, m=42, rp=0 ---------> -0.000239645
t=1, n=18, r=3, m=42, rp=0 ---------> -0.00102502
t=0, n=19, r=3, m=42, rp=0 ---------> -0.000143085
t=1, n=19, r=3, m=42, rp=0 ---------> -0.000494104
t=0, n=20, r=3, m=42, rp=0 ---------> -0.000138131
t=1, n=20, r=3, m=42, rp=0 ---------> -0.00169965
t=0, n=21, r=3, m=42, rp=0 ---------> 0.000187843
t=1, n=21, r=3, m=42, rp=0 ---------> -0.00191149
t=0, n=22, r=3, m=42, rp=0 ---------> -0.000615516
t=1, n=22, r=3, m=42, rp=0 ---------> -0.00254589
t=0, n=23, r=3, m=42, rp=0 ---------> 5.19446e-05
t=1, n=23, r=3, m=42, rp=0 ---------> -0.00162569
t=0, n=24, r=3, m=42, rp=0 ---------> 0.000390712
t=1, n=24, r=3, m=42, rp=0 ---------> -0.00303683
