t=0, n=1, r=1, m=0, rp=0 ---------> -7.6621e+11
t=1, n=1, r=1, m=0, rp=0 ---------> -9.68833e+11
t=0, n=2, r=1, m=0, rp=0 ---------> -3.77469e+11
t=1, n=2, r=1, m=0, rp=0 ---------> -6.54013e+11
t=0, n=3, r=1, m=0, rp=0 ---------> -2.76808e+11
t=1, n=3, r=1, m=0, rp=0 ---------> -1.14422e+12
t=0, n=4, r=1, m=0, rp=0 ---------> 2.82141e+10
t=1, n=4, r=1, m=0, rp=0 ---------> -1.3146e+12
t=0, n=5, r=1, m=0, rp=0 ---------> 2.09591e+11
t=1, n=5, r=1, m=0, rp=0 ---------> -8.10382e+11
t=0, n=6, r=1, m=0, rp=0 ---------> 1.22627e+11
t=1, n=6, r=1, m=0, rp=0 ---------> -6.15545e+11
t=0, n=7, r=1, m=0, rp=0 ---------> -5.638e+11
t=1, n=7, r=1, m=0, rp=0 ---------> -6.28981e+11
t=0, n=8, r=1, m=0, rp=0 ---------> -2.87938e+11
t=1, n=8, r=1, m=0, rp=0 ---------> -1.01087e+12
t=0, n=9, r=1, m=0, rp=0 ---------> -3.68605e+11
t=1, n=9, r=1, m=0, rp=0 ---------> -6.32417e+10
t=0, n=10, r=1, m=0, rp=0 ---------> 2.20381e+11
t=1, n=10, r=1, m=0, rp=0 ---------> -5.35802e+11
t=0, n=11, r=1, m=0, rp=0 ---------> 2.233e+11
t=1, n=11, r=1, m=0, rp=0 ---------> -5.39721e+11
t=0, n=12, r=1, m=0, rp=0 ---------> 3.87263e+10
t=1, n=12, r=1, m=0, rp=0 ---------> -9.074e+11
t=0, n=13, r=1, m=0, rp=0 ---------> -4.3013e+11
t=1, n=13, r=1, m=0, rp=0 ---------> -4.45856e+11
t=0, n=14, r=1, m=0, rp=0 ---------> 9.90925e+10
t=1, n=14, r=1, m=0, rp=0 ---------> 7.53096e+10
t=0, n=15, r=1, m=0, rp=0 ---------> 6.08448e+11
t=1, n=15, r=1, m=0, rp=0 ---------> -8.53936e+11
t=0, n=16, r=1, m=0, rp=0 ---------> 5.82482e+11
t=1, n=16, r=1, m=0, rp=0 ---------> -3.86854e+11
t=0, n=17, r=1, m=0, rp=0 ---------> -7.11079e+11
t=1, n=17, r=1, m=0, rp=0 ---------> -7.46945e+11
t=0, n=18, r=1, m=0, rp=0 ---------> 2.29825e+11
t=1, n=18, r=1, m=0, rp=0 ---------> -6.17834e+11
t=0, n=19, r=1, m=0, rp=0 ---------> 1.78097e+11
t=1, n=19, r=1, m=0, rp=0 ---------> 6.40824e+10
t=0, n=20, r=1, m=0, rp=0 ---------> 1.50754e+10
t=1, n=20, r=1, m=0, rp=0 ---------> -6.5365e+11
t=0, n=21, r=1, m=0, rp=0 ---------> -1.41528e+10
t=1, n=21, r=1, m=0, rp=0 ---------> -3.55035e+11
t=0, n=22, r=1, m=0, rp=0 ---------> -1.34295e+11
t=1, n=22, r=1, m=0, rp=0 ---------> -1.06903e+12
t=0, n=23, r=1, m=0, rp=0 ---------> -8.04816e+11
t=1, n=23, r=1, m=0, rp=0 ---------> -7.59045e+11
t=0, n=24, r=1, m=0, rp=0 ---------> 4.81159e+11
t=1, n=24, r=1, m=0, rp=0 ---------> -1.14223e+12
t=0, n=25, r=1, m=0, rp=0 ---------> -1.58428e+11
t=1, n=25, r=1, m=0, rp=0 ---------> -7.74689e+11
t=0, n=26, r=1, m=0, rp=0 ---------> -2.28949e+11
t=1, n=26, r=1, m=0, rp=0 ---------> -4.51473e+11
t=0, n=27, r=1, m=0, rp=0 ---------> -5.31626e+11
t=1, n=27, r=1, m=0, rp=0 ---------> -8.03507e+11
t=0, n=28, r=1, m=0, rp=0 ---------> 5.60955e+11
t=1, n=28, r=1, m=0, rp=0 ---------> -7.22875e+11
t=0, n=29, r=1, m=0, rp=0 ---------> 2.68745e+10
t=1, n=29, r=1, m=0, rp=0 ---------> -1.10334e+12
t=0, n=30, r=1, m=0, rp=0 ---------> 2.46607e+11
t=1, n=30, r=1, m=0, rp=0 ---------> -3.63081e+10
t=0, n=31, r=1, m=0, rp=0 ---------> 5.37135e+11
t=1, n=31, r=1, m=0, rp=0 ---------> 2.18785e+11
t=0, n=32, r=1, m=0, rp=0 ---------> 5.85329e+11
t=1, n=32, r=1, m=0, rp=0 ---------> -4.27678e+11
t=0, n=33, r=1, m=0, rp=0 ---------> -1.98805e+11
t=1, n=33, r=1, m=0, rp=0 ---------> -5.07436e+10
t=0, n=34, r=1, m=0, rp=0 ---------> -8.05771e+11
