t=1, n=6, r=1, m=27, rp=0 ---------> -9.22138e+11
t=0, n=7, r=1, m=27, rp=0 ---------> -9.32998e+11
t=1, n=7, r=1, m=27, rp=0 ---------> -4.93339e+11
t=0, n=8, r=1, m=27, rp=0 ---------> -4.86881e+11
t=1, n=8, r=1, m=27, rp=0 ---------> -1.03335e+12
t=0, n=9, r=1, m=27, rp=0 ---------> -9.35343e+11
t=1, n=9, r=1, m=27, rp=0 ---------> -3.13981e+11
t=0, n=10, r=1, m=27, rp=0 ---------> 6.8071e+10
t=1, n=10, r=1, m=27, rp=0 ---------> -6.48648e+11
t=0, n=11, r=1, m=27, rp=0 ---------> 3.35769e+11
t=1, n=11, r=1, m=27, rp=0 ---------> -5.75211e+11
t=0, n=12, r=1, m=27, rp=0 ---------> 1.3358e+11
t=1, n=12, r=1, m=27, rp=0 ---------> -1.0355e+12
t=0, n=13, r=1, m=27, rp=0 ---------> -6.06751e+11
t=1, n=13, r=1, m=27, rp=0 ---------> -2.27065e+11
t=0, n=14, r=1, m=27, rp=0 ---------> -4.23277e+09
t=1, n=14, r=1, m=27, rp=0 ---------> -4.74578e+10
t=0, n=15, r=1, m=27, rp=0 ---------> -4.39669e+11
t=1, n=15, r=1, m=27, rp=0 ---------> -9.74365e+11
t=0, n=16, r=1, m=27, rp=0 ---------> 5.49688e+11
t=1, n=16, r=1, m=27, rp=0 ---------> -7.95044e+11
t=0, n=17, r=1, m=27, rp=0 ---------> -1.51568e+11
t=1, n=17, r=1, m=27, rp=0 ---------> -5.76695e+11
t=0, n=18, r=1, m=27, rp=0 ---------> -2.9411e+11
t=1, n=18, r=1, m=27, rp=0 ---------> -7.94488e+11
t=0, n=19, r=1, m=27, rp=0 ---------> -6.44395e+11
t=1, n=19, r=1, m=27, rp=0 ---------> -1.51488e+11
t=0, n=20, r=1, m=27, rp=0 ---------> -7.4445e+10
t=1, n=20, r=1, m=27, rp=0 ---------> -7.7933e+11
t=0, n=21, r=1, m=27, rp=0 ---------> 9.82649e+10
t=1, n=21, r=1, m=27, rp=0 ---------> -4.33721e+11
t=0, n=22, r=1, m=27, rp=0 ---------> -5.28848e+11
t=1, n=22, r=1, m=27, rp=0 ---------> -1.32644e+12
t=0, n=23, r=1, m=27, rp=0 ---------> -8.30314e+11
t=1, n=23, r=1, m=27, rp=0 ---------> -6.85794e+11
t=0, n=24, r=1, m=27, rp=0 ---------> -2.87214e+11
t=1, n=24, r=1, m=27, rp=0 ---------> -1.65582e+12
t=0, n=25, r=1, m=27, rp=0 ---------> -3.60016e+11
t=1, n=25, r=1, m=27, rp=0 ---------> -1.08084e+12
t=0, n=26, r=1, m=27, rp=0 ---------> -6.57082e+10
t=1, n=26, r=1, m=27, rp=0 ---------> -4.59168e+11
t=0, n=27, r=1, m=27, rp=0 ---------> -1.10006e+12
t=1, n=27, r=1, m=27, rp=0 ---------> -8.71789e+11
t=0, n=28, r=1, m=27, rp=0 ---------> 4.36846e+11
t=1, n=28, r=1, m=27, rp=0 ---------> -1.284e+12
t=0, n=29, r=1, m=27, rp=0 ---------> -6.37682e+11
t=1, n=29, r=1, m=27, rp=0 ---------> -1.13816e+12
t=0, n=30, r=1, m=27, rp=0 ---------> -3.52109e+11
t=1, n=30, r=1, m=27, rp=0 ---------> -4.77977e+11
t=0, n=31, r=1, m=27, rp=0 ---------> 4.12047e+11
t=1, n=31, r=1, m=27, rp=0 ---------> -3.55439e+10
t=0, n=32, r=1, m=27, rp=0 ---------> -7.68022e+11
t=1, n=32, r=1, m=27, rp=0 ---------> -6.80825e+11
t=0, n=33, r=1, m=27, rp=0 ---------> -5.93473e+10
t=1, n=33, r=1, m=27, rp=0 ---------> 8.26874e+10
t=0, n=34, r=1, m=27, rp=0 ---------> -7.92992e+11
t=1, n=34, r=1, m=27, rp=0 ---------> -5.66153e+11
t=0, n=35, r=1, m=27, rp=0 ---------> -4.51488e+11
t=1, n=35, r=1, m=27, rp=0 ---------> -2.14797e+11
t=0, n=36, r=1, m=27, rp=0 ---------> -6.0886e+11
t=1, n=36, r=1, m=27, rp=0 ---------> -5.06794e+11
t=0, n=37, r=1, m=27, rp=0 ---------> 7.79102e+11
t=1, n=37, r=1, m=27, rp=0 ---------> -8.8255e+10
t=0, n=38, r=1, m=27, rp=0 ---------> -4.86169e+11
t=1, n=38, r=1, m=27, rp=0 ---------> -9.30692e+11
t=0, n=39, r=1, m=27, rp=0 ---------> -7.33273e+11
t=1, n=39, r=1, m=27, rp=0 ---------> -5.19209e+11
t=0, n=40, r=1, m=27, rp=0 ---------> -1.23073e+12
t=1, n=40, r=1, m=27, rp=0 ---------> -3.36939e+11
t=0, n=41, r=1, m=27, rp=0 ---------> -4.92859e+10
t=1, n=41, r=1, m=27, rp=0 ---------> -1.34311e+12
t=0, n=42, r=1, m=27, rp=0 ---------> -1.28705e+10
t=1, n=42, r=1, m=27, rp=0 ---------> -1.2466e+12
t=0, n=43, r=1, m=27, rp=0 ---------> -9.96996e+10
t=1, n=43, r=1, m=27, rp=0 ---------> -4.76158e+11
t=0, n=44, r=1, m=27, rp=0 ---------> 1.60154e+11
t=1, n=44, r=1, m=27, rp=0 ---------> 1.11753e+11
t=0, n=45, r=1, m=27, rp=0 ---------> 5.6589e+10
t=1, n=45, r=1, m=27, rp=0 ---------> 1.03371e+11
t=0, n=0, r=2, m=27, rp=0 ---------> 1.44931e+12
t=1, n=0, r=2, m=27, rp=0 ---------> 9.38473e+10
t=0, n=1, r=2, m=27, rp=0 ---------> 4.31046e+11
t=1, n=1, r=2, m=27, rp=0 ---------> 1.82629e+11
t=0, n=2, r=2, m=27, rp=0 ---------> 1.81273e+11
t=1, n=2, r=2, m=27, rp=0 ---------> -1.24942e+11
t=0, n=3, r=2, m=27, rp=0 ---------> 2.06336e+11
t=1, n=3, r=2, m=27, rp=0 ---------> -1.90709e+11
t=0, n=4, r=2, m=27, rp=0 ---------> 1.46729e+12
t=1, n=4, r=2, m=27, rp=0 ---------> -6.0907e+10
t=0, n=5, r=2, m=27, rp=0 ---------> 7.38729e+11
t=1, n=5, r=2, m=27, rp=0 ---------> -6.92802e+11
t=0, n=6, r=2, m=27, rp=0 ---------> -3.10194e+10
t=1, n=6, r=2, m=27, rp=0 ---------> 6.46865e+11
t=0, n=7, r=2, m=27, rp=0 ---------> 7.89971e+11
t=1, n=7, r=2, m=27, rp=0 ---------> -2.04972e+11
t=0, n=8, r=2, m=27, rp=0 ---------> 7.62224e+10
t=1, n=8, r=2, m=27, rp=0 ---------> -1.22549e+11
t=0, n=9, r=2, m=27, rp=0 ---------> 4.19924e+11
t=1, n=9, r=2, m=27, rp=0 ---------> 4.48063e+11
t=0, n=10, r=2, m=27, rp=0 ---------> 1.77178e+11
t=1, n=10, r=2, m=27, rp=0 ---------> -1.06552e+11
t=0, n=11, r=2, m=27, rp=0 ---------> 7.19895e+11
t=1, n=11, r=2, m=27, rp=0 ---------> -4.7247e+11
t=0, n=12, r=2, m=27, rp=0 ---------> 3.44766e+11
t=1, n=12, r=2, m=27, rp=0 ---------> 2.19602e+11
t=0, n=13, r=2, m=27, rp=0 ---------> -1.84765e+11
t=1, n=13, r=2, m=27, rp=0 ---------> 3.37727e+11
t=0, n=14, r=2, m=27, rp=0 ---------> -1.35194e+11
t=1, n=14, r=2, m=27, rp=0 ---------> -8.73333e+10
t=0, n=15, r=2, m=27, rp=0 ---------> 1.05587e+12
t=1, n=15, r=2, m=27, rp=0 ---------> -4.5949e+11
t=0, n=16, r=2, m=27, rp=0 ---------> -1.92094e+11
t=1, n=16, r=2, m=27, rp=0 ---------> -1.85474e+11
t=0, n=17, r=2, m=27, rp=0 ---------> 4.3515e+11
t=1, n=17, r=2, m=27, rp=0 ---------> 1.29166e+11
t=0, n=18, r=2, m=27, rp=0 ---------> 1.0295e+12
t=1, n=18, r=2, m=27, rp=0 ---------> 6.55265e+10
t=0, n=19, r=2, m=27, rp=0 ---------> 1.38425e+12
t=1, n=19, r=2, m=27, rp=0 ---------> -2.97683e+11
t=0, n=20, r=2, m=27, rp=0 ---------> 6.88472e+11
t=1, n=20, r=2, m=27, rp=0 ---------> -4.87785e+11
t=0, n=21, r=2, m=27, rp=0 ---------> 6.44361e+11
t=1, n=21, r=2, m=27, rp=0 ---------> -5.69361e+11
t=0, n=22, r=2, m=27, rp=0 ---------> 1.81269e+12
t=1, n=22, r=2, m=27, rp=0 ---------> -7.64203e+11
t=0, n=23, r=2, m=27, rp=0 ---------> 4.36666e+11
t=1, n=23, r=2, m=27, rp=0 ---------> -3.9175e+11
t=0, n=24, r=2, m=27, rp=0 ---------> 1.41522e+12
t=1, n=24, r=2, m=27, rp=0 ---------> -3.43866e+11
t=0, n=25, r=2, m=27, rp=0 ---------> 4.04016e+11
t=1, n=25, r=2, m=27, rp=0 ---------> -9.37657e+10
t=0, n=26, r=2, m=27, rp=0 ---------> 7.16758e+11
t=1, n=26, r=2, m=27, rp=0 ---------> -6.77947e+11
t=0, n=27, r=2, m=27, rp=0 ---------> 7.40628e+11
t=1, n=27, r=2, m=27, rp=0 ---------> -1.11279e+10
t=0, n=28, r=2, m=27, rp=0 ---------> 3.23211e+11
t=1, n=28, r=2, m=27, rp=0 ---------> 4.11624e+11
t=0, n=29, r=2, m=27, rp=0 ---------> 1.02407e+12
t=1, n=29, r=2, m=27, rp=0 ---------> -1.52368e+11
t=0, n=30, r=2, m=27, rp=0 ---------> 8.65698e+11
t=1, n=30, r=2, m=27, rp=0 ---------> 3.62779e+11
t=0, n=31, r=2, m=27, rp=0 ---------> 7.81194e+11
t=1, n=31, r=2, m=27, rp=0 ---------> -4.87202e+11
t=0, n=32, r=2, m=27, rp=0 ---------> 1.27927e+12
t=1, n=32, r=2, m=27, rp=0 ---------> -3.19957e+11
t=0, n=33, r=2, m=27, rp=0 ---------> 6.87342e+10
t=1, n=33, r=2, m=27, rp=0 ---------> -3.43098e+09
t=0, n=34, r=2, m=27, rp=0 ---------> 1.47668e+12
t=1, n=34, r=2, m=27, rp=0 ---------> -1.66184e+11
t=0, n=35, r=2, m=27, rp=0 ---------> 1.50236e+11
t=1, n=35, r=2, m=27, rp=0 ---------> -9.97037e+10
t=0, n=36, r=2, m=27, rp=0 ---------> 1.08366e+12
t=1, n=36, r=2, m=27, rp=0 ---------> -1.19417e+11
t=0, n=37, r=2, m=27, rp=0 ---------> -4.64756e+11
t=1, n=37, r=2, m=27, rp=0 ---------> -4.92457e+11
t=0, n=38, r=2, m=27, rp=0 ---------> 9.8346e+11
t=1, n=38, r=2, m=27, rp=0 ---------> -6.48957e+10
t=0, n=39, r=2, m=27, rp=0 ---------> 7.78759e+11
t=1, n=39, r=2, m=27, rp=0 ---------> -3.13338e+10
t=0, n=40, r=2, m=27, rp=0 ---------> 9.23774e+11
t=1, n=40, r=2, m=27, rp=0 ---------> 1.79988e+11
t=0, n=41, r=2, m=27, rp=0 ---------> 4.89388e+11
t=1, n=41, r=2, m=27, rp=0 ---------> -2.27693e+11
t=0, n=42, r=2, m=27, rp=0 ---------> 7.67246e+11
t=1, n=42, r=2, m=27, rp=0 ---------> -1.1198e+11
t=0, n=43, r=2, m=27, rp=0 ---------> 7.68179e+11
t=1, n=43, r=2, m=27, rp=0 ---------> -2.07601e+10
t=0, n=44, r=2, m=27, rp=0 ---------> 1.90393e+10
t=1, n=44, r=2, m=27, rp=0 ---------> 4.44468e+10
t=0, n=45, r=2, m=27, rp=0 ---------> -3.08936e+10
t=1, n=45, r=2, m=27, rp=0 ---------> -1.35994e+09
t=0, n=0, r=3, m=27, rp=0 ---------> -1.15961e+12
t=1, n=0, r=3, m=27, rp=0 ---------> 1.07446e+12
t=0, n=1, r=3, m=27, rp=0 ---------> -3.7745e+11
t=1, n=1, r=3, m=27, rp=0 ---------> 4.69205e+11
t=0, n=2, r=3, m=27, rp=0 ---------> 1.09245e+12
t=1, n=2, r=3, m=27, rp=0 ---------> 7.01292e+11
t=0, n=3, r=3, m=27, rp=0 ---------> -1.26784e+11
t=1, n=3, r=3, m=27, rp=0 ---------> 3.19307e+11
t=0, n=4, r=3, m=27, rp=0 ---------> -8.0533e+11
t=1, n=4, r=3, m=27, rp=0 ---------> 9.62211e+10
t=0, n=5, r=3, m=27, rp=0 ---------> -7.73362e+11
t=1, n=5, r=3, m=27, rp=0 ---------> 2.65599e+11
t=0, n=6, r=3, m=27, rp=0 ---------> -2.79838e+11
t=1, n=6, r=3, m=27, rp=0 ---------> 2.97733e+10
t=0, n=7, r=3, m=27, rp=0 ---------> -7.84731e+11
t=1, n=7, r=3, m=27, rp=0 ---------> 5.10176e+11
t=0, n=8, r=3, m=27, rp=0 ---------> 2.00551e+11
t=1, n=8, r=3, m=27, rp=0 ---------> 4.74165e+11
t=0, n=9, r=3, m=27, rp=0 ---------> 6.81042e+11
t=1, n=9, r=3, m=27, rp=0 ---------> 8.27206e+11
t=0, n=10, r=3, m=27, rp=0 ---------> -2.17705e+11
t=1, n=10, r=3, m=27, rp=0 ---------> -6.56573e+10
t=0, n=11, r=3, m=27, rp=0 ---------> -9.79415e+11
t=1, n=11, r=3, m=27, rp=0 ---------> 5.98952e+11
t=0, n=12, r=3, m=27, rp=0 ---------> -6.5312e+11
t=1, n=12, r=3, m=27, rp=0 ---------> 1.65151e+11
t=0, n=13, r=3, m=27, rp=0 ---------> 2.21958e+11
t=1, n=13, r=3, m=27, rp=0 ---------> 2.74275e+11
t=0, n=14, r=3, m=27, rp=0 ---------> 2.70956e+11
t=1, n=14, r=3, m=27, rp=0 ---------> 1.50444e+11
t=0, n=15, r=3, m=27, rp=0 ---------> 1.63132e+11
t=1, n=15, r=3, m=27, rp=0 ---------> 8.65289e+11
t=0, n=16, r=3, m=27, rp=0 ---------> -1.76249e+11
t=1, n=16, r=3, m=27, rp=0 ---------> 3.12499e+11
t=0, n=17, r=3, m=27, rp=0 ---------> -5.35179e+11
t=1, n=17, r=3, m=27, rp=0 ---------> 8.49328e+11
t=0, n=18, r=3, m=27, rp=0 ---------> -9.47904e+11
t=1, n=18, r=3, m=27, rp=0 ---------> 9.93787e+11
t=0, n=19, r=3, m=27, rp=0 ---------> -6.53498e+11
t=1, n=19, r=3, m=27, rp=0 ---------> 3.4238e+11
t=0, n=20, r=3, m=27, rp=0 ---------> -6.25224e+11
t=1, n=20, r=3, m=27, rp=0 ---------> 2.23986e+11
t=0, n=21, r=3, m=27, rp=0 ---------> -6.37248e+11
t=1, n=21, r=3, m=27, rp=0 ---------> 1.6223e+11
t=0, n=22, r=3, m=27, rp=0 ---------> -1.68188e+12
t=1, n=22, r=3, m=27, rp=0 ---------> 4.19331e+11
t=0, n=23, r=3, m=27, rp=0 ---------> -2.12071e+11
t=1, n=23, r=3, m=27, rp=0 ---------> 1.90527e+11
t=0, n=24, r=3, m=27, rp=0 ---------> -8.02145e+11
t=1, n=24, r=3, m=27, rp=0 ---------> 7.65765e+11
t=0, n=25, r=3, m=27, rp=0 ---------> 6.3507e+10
t=1, n=25, r=3, m=27, rp=0 ---------> 3.73926e+11
t=0, n=26, r=3, m=27, rp=0 ---------> -9.67968e+11
t=1, n=26, r=3, m=27, rp=0 ---------> 4.29908e+11
t=0, n=27, r=3, m=27, rp=0 ---------> -5.85582e+10
t=1, n=27, r=3, m=27, rp=0 ---------> 3.8178e+11
t=0, n=28, r=3, m=27, rp=0 ---------> -6.79173e+11
t=1, n=28, r=3, m=27, rp=0 ---------> 7.42342e+11
t=0, n=29, r=3, m=27, rp=0 ---------> -3.56157e+11
t=1, n=29, r=3, m=27, rp=0 ---------> -3.00708e+09
t=0, n=30, r=3, m=27, rp=0 ---------> 2.64569e+11
t=1, n=30, r=3, m=27, rp=0 ---------> 1.44307e+12
t=0, n=31, r=3, m=27, rp=0 ---------> -4.90623e+11
t=1, n=31, r=3, m=27, rp=0 ---------> 5.17377e+10
t=0, n=32, r=3, m=27, rp=0 ---------> 2.87182e+11
t=1, n=32, r=3, m=27, rp=0 ---------> 5.52521e+11
t=0, n=33, r=3, m=27, rp=0 ---------> 1.20943e+11
t=1, n=33, r=3, m=27, rp=0 ---------> 2.23956e+11
t=0, n=34, r=3, m=27, rp=0 ---------> -1.1057e+12
t=1, n=34, r=3, m=27, rp=0 ---------> 1.13597e+12
t=0, n=35, r=3, m=27, rp=0 ---------> 7.20388e+10
t=1, n=35, r=3, m=27, rp=0 ---------> 2.87942e+11
t=0, n=36, r=3, m=27, rp=0 ---------> -7.79884e+11
t=1, n=36, r=3, m=27, rp=0 ---------> 3.23332e+11
t=0, n=37, r=3, m=27, rp=0 ---------> 4.01968e+11
t=1, n=37, r=3, m=27, rp=0 ---------> 1.29349e+11
t=0, n=38, r=3, m=27, rp=0 ---------> -7.62475e+11
t=1, n=38, r=3, m=27, rp=0 ---------> 2.17861e+11
t=0, n=39, r=3, m=27, rp=0 ---------> 2.985e+11
t=1, n=39, r=3, m=27, rp=0 ---------> 5.4344e+11
t=0, n=40, r=3, m=27, rp=0 ---------> 4.0835e+11
t=1, n=40, r=3, m=27, rp=0 ---------> 8.2572e+11
t=0, n=41, r=3, m=27, rp=0 ---------> -6.97112e+11
t=1, n=41, r=3, m=27, rp=0 ---------> -1.32e+11
t=0, n=42, r=3, m=27, rp=0 ---------> -9.11593e+11
t=1, n=42, r=3, m=27, rp=0 ---------> 5.94823e+10
t=0, n=43, r=3, m=27, rp=0 ---------> -1.06758e+12
t=1, n=43, r=3, m=27, rp=0 ---------> 5.57769e+11
t=0, n=44, r=3, m=27, rp=0 ---------> 7.96883e+10
t=1, n=44, r=3, m=27, rp=0 ---------> -2.34084e+10
t=0, n=45, r=3, m=27, rp=0 ---------> 2.09286e+10
t=1, n=45, r=3, m=27, rp=0 ---------> -1.09331e+11
t=0, n=0, r=0, m=28, rp=0 ---------> 6.70473e+11
t=1, n=0, r=0, m=28, rp=0 ---------> -2.37361e+11
t=0, n=1, r=0, m=28, rp=0 ---------> 1.70811e+11
t=1, n=1, r=0, m=28, rp=0 ---------> -8.74458e+10
t=0, n=2, r=0, m=28, rp=0 ---------> -4.69342e+11
t=1, n=2, r=0, m=28, rp=0 ---------> -3.38364e+11
t=0, n=3, r=0, m=28, rp=0 ---------> 1.97101e+11
t=1, n=3, r=0, m=28, rp=0 ---------> -2.67189e+11
t=0, n=4, r=0, m=28, rp=0 ---------> 4.25083e+11
t=1, n=4, r=0, m=28, rp=0 ---------> -3.00774e+11
t=0, n=5, r=0, m=28, rp=0 ---------> 3.22052e+11
t=1, n=5, r=0, m=28, rp=0 ---------> -1.16698e+11
t=0, n=6, r=0, m=28, rp=0 ---------> 2.84381e+11
t=1, n=6, r=0, m=28, rp=0 ---------> -2.56619e+11
t=0, n=7, r=0, m=28, rp=0 ---------> 5.10142e+11
t=1, n=7, r=0, m=28, rp=0 ---------> -2.74969e+10
t=0, n=8, r=0, m=28, rp=0 ---------> -5.46522e+10
t=1, n=8, r=0, m=28, rp=0 ---------> -3.13223e+11
t=0, n=9, r=0, m=28, rp=0 ---------> 6.84235e+09
t=1, n=9, r=0, m=28, rp=0 ---------> -5.51434e+10
t=0, n=10, r=0, m=28, rp=0 ---------> 1.7836e+11
t=1, n=10, r=0, m=28, rp=0 ---------> -4.5452e+10
t=0, n=11, r=0, m=28, rp=0 ---------> 2.49343e+11
t=1, n=11, r=0, m=28, rp=0 ---------> -5.89839e+09
t=0, n=12, r=0, m=28, rp=0 ---------> 2.9867e+11
t=1, n=12, r=0, m=28, rp=0 ---------> -6.77818e+10
t=0, n=13, r=0, m=28, rp=0 ---------> 2.50935e+11
t=1, n=13, r=0, m=28, rp=0 ---------> 1.36928e+11
t=0, n=14, r=0, m=28, rp=0 ---------> -4.97181e+11
t=1, n=14, r=0, m=28, rp=0 ---------> -3.72301e+11
t=0, n=15, r=0, m=28, rp=0 ---------> 2.77627e+11
t=1, n=15, r=0, m=28, rp=0 ---------> -3.56166e+11
t=0, n=16, r=0, m=28, rp=0 ---------> 2.17851e+11
t=1, n=16, r=0, m=28, rp=0 ---------> -1.21825e+11
t=0, n=17, r=0, m=28, rp=0 ---------> -1.79147e+10
t=1, n=17, r=0, m=28, rp=0 ---------> 8.94506e+10
t=0, n=18, r=0, m=28, rp=0 ---------> 1.63333e+11
t=1, n=18, r=0, m=28, rp=0 ---------> -2.13894e+11
t=0, n=19, r=0, m=28, rp=0 ---------> 2.88106e+11
t=1, n=19, r=0, m=28, rp=0 ---------> -9.3793e+10
t=0, n=20, r=0, m=28, rp=0 ---------> 3.39758e+11
t=1, n=20, r=0, m=28, rp=0 ---------> -1.33253e+11
t=0, n=21, r=0, m=28, rp=0 ---------> 1.8205e+11
t=1, n=21, r=0, m=28, rp=0 ---------> 3.71485e+10
t=0, n=22, r=0, m=28, rp=0 ---------> 8.81853e+11
t=1, n=22, r=0, m=28, rp=0 ---------> -1.5031e+11
t=0, n=23, r=0, m=28, rp=0 ---------> -1.14959e+11
t=1, n=23, r=0, m=28, rp=0 ---------> 1.87268e+10
t=0, n=24, r=0, m=28, rp=0 ---------> 4.80093e+11
t=1, n=24, r=0, m=28, rp=0 ---------> -4.70388e+11
t=0, n=25, r=0, m=28, rp=0 ---------> 2.21692e+10
t=1, n=25, r=0, m=28, rp=0 ---------> -3.64541e+11
t=0, n=26, r=0, m=28, rp=0 ---------> 2.28362e+11
t=1, n=26, r=0, m=28, rp=0 ---------> 1.17769e+11
t=0, n=27, r=0, m=28, rp=0 ---------> 1.31262e+11
t=1, n=27, r=0, m=28, rp=0 ---------> -9.04814e+10
t=0, n=28, r=0, m=28, rp=0 ---------> 5.33616e+11
t=1, n=28, r=0, m=28, rp=0 ---------> -1.29125e+11
t=0, n=29, r=0, m=28, rp=0 ---------> 7.39482e+10
t=1, n=29, r=0, m=28, rp=0 ---------> -2.79378e+11
t=0, n=30, r=0, m=28, rp=0 ---------> 3.84454e+10
t=1, n=30, r=0, m=28, rp=0 ---------> -2.44944e+11
t=0, n=31, r=0, m=28, rp=0 ---------> 1.2079e+11
t=1, n=31, r=0, m=28, rp=0 ---------> -6.78437e+10
t=0, n=32, r=0, m=28, rp=0 ---------> 3.42663e+11
t=1, n=32, r=0, m=28, rp=0 ---------> -2.67708e+11
t=0, n=33, r=0, m=28, rp=0 ---------> -2.29822e+11
t=1, n=33, r=0, m=28, rp=0 ---------> -3.72816e+09
t=0, n=34, r=0, m=28, rp=0 ---------> 1.27363e+11
t=1, n=34, r=0, m=28, rp=0 ---------> 8.08028e+10
t=0, n=35, r=0, m=28, rp=0 ---------> -4.65303e+09
t=1, n=35, r=0, m=28, rp=0 ---------> -3.45232e+10
t=0, n=36, r=0, m=28, rp=0 ---------> 4.65549e+11
t=1, n=36, r=0, m=28, rp=0 ---------> -1.16816e+11
t=0, n=37, r=0, m=28, rp=0 ---------> -2.75825e+11
t=1, n=37, r=0, m=28, rp=0 ---------> -4.85657e+11
t=0, n=38, r=0, m=28, rp=0 ---------> 6.11636e+11
t=1, n=38, r=0, m=28, rp=0 ---------> -1.91784e+11
t=0, n=39, r=0, m=28, rp=0 ---------> 2.33117e+11
t=1, n=39, r=0, m=28, rp=0 ---------> -2.48712e+11
t=0, n=40, r=0, m=28, rp=0 ---------> 2.73613e+10
t=1, n=40, r=0, m=28, rp=0 ---------> -2.40731e+11
t=0, n=41, r=0, m=28, rp=0 ---------> 4.56838e+11
t=1, n=41, r=0, m=28, rp=0 ---------> -2.27977e+11
t=0, n=42, r=0, m=28, rp=0 ---------> 3.30588e+11
t=1, n=42, r=0, m=28, rp=0 ---------> -1.62068e+11
t=0, n=43, r=0, m=28, rp=0 ---------> 2.95375e+11
t=1, n=43, r=0, m=28, rp=0 ---------> 4.57603e+10
t=0, n=44, r=0, m=28, rp=0 ---------> 6.94369e+10
t=1, n=44, r=0, m=28, rp=0 ---------> 2.22627e+10
t=0, n=45, r=0, m=28, rp=0 ---------> 5.24308e+10
t=1, n=45, r=0, m=28, rp=0 ---------> 3.39231e+10
t=0, n=0, r=1, m=28, rp=0 ---------> 1.44424e+10
t=1, n=0, r=1, m=28, rp=0 ---------> -3.04094e+11
t=0, n=1, r=1, m=28, rp=0 ---------> -5.89383e+11
t=1, n=1, r=1, m=28, rp=0 ---------> -7.55643e+11
t=0, n=2, r=1, m=28, rp=0 ---------> -8.78323e+11
t=1, n=2, r=1, m=28, rp=0 ---------> -7.84723e+11
t=0, n=3, r=1, m=28, rp=0 ---------> -4.2045e+11
t=1, n=3, r=1, m=28, rp=0 ---------> -7.22026e+11
t=0, n=4, r=1, m=28, rp=0 ---------> -5.74942e+09
t=1, n=4, r=1, m=28, rp=0 ---------> -7.83904e+11
t=0, n=5, r=1, m=28, rp=0 ---------> 3.35308e+11
t=1, n=5, r=1, m=28, rp=0 ---------> -7.93624e+11
t=0, n=6, r=1, m=28, rp=0 ---------> -2.46234e+11
t=1, n=6, r=1, m=28, rp=0 ---------> -2.91572e+11
t=0, n=7, r=1, m=28, rp=0 ---------> -5.53881e+11
t=1, n=7, r=1, m=28, rp=0 ---------> -2.26134e+10
t=0, n=8, r=1, m=28, rp=0 ---------> -5.35291e+11
t=1, n=8, r=1, m=28, rp=0 ---------> -6.97409e+11
t=0, n=9, r=1, m=28, rp=0 ---------> -5.45625e+11
t=1, n=9, r=1, m=28, rp=0 ---------> -3.55449e+11
t=0, n=10, r=1, m=28, rp=0 ---------> 1.58225e+11
t=1, n=10, r=1, m=28, rp=0 ---------> -5.34989e+11
t=0, n=11, r=1, m=28, rp=0 ---------> 4.82767e+11
t=1, n=11, r=1, m=28, rp=0 ---------> -6.44034e+11
t=0, n=12, r=1, m=28, rp=0 ---------> 1.71439e+11
t=1, n=12, r=1, m=28, rp=0 ---------> -5.92822e+11
t=0, n=13, r=1, m=28, rp=0 ---------> -6.27829e+11
t=1, n=13, r=1, m=28, rp=0 ---------> -2.83761e+11
t=0, n=14, r=1, m=28, rp=0 ---------> 1.51351e+11
t=1, n=14, r=1, m=28, rp=0 ---------> -5.60004e+11
t=0, n=15, r=1, m=28, rp=0 ---------> 1.16896e+11
t=1, n=15, r=1, m=28, rp=0 ---------> -7.45327e+11
t=0, n=16, r=1, m=28, rp=0 ---------> 6.05247e+11
t=1, n=16, r=1, m=28, rp=0 ---------> -4.1992e+11
t=0, n=17, r=1, m=28, rp=0 ---------> -5.10795e+10
t=1, n=17, r=1, m=28, rp=0 ---------> -8.87878e+11
t=0, n=18, r=1, m=28, rp=0 ---------> 1.63001e+11
t=1, n=18, r=1, m=28, rp=0 ---------> -4.82535e+11
t=0, n=19, r=1, m=28, rp=0 ---------> -1.47577e+10
t=1, n=19, r=1, m=28, rp=0 ---------> 1.80343e+11
t=0, n=20, r=1, m=28, rp=0 ---------> 4.35985e+10
t=1, n=20, r=1, m=28, rp=0 ---------> -4.15142e+11
t=0, n=21, r=1, m=28, rp=0 ---------> -1.03487e+10
t=1, n=21, r=1, m=28, rp=0 ---------> -3.76604e+11
t=0, n=22, r=1, m=28, rp=0 ---------> 1.36427e+11
t=1, n=22, r=1, m=28, rp=0 ---------> -5.19334e+11
t=0, n=23, r=1, m=28, rp=0 ---------> -6.54778e+11
t=1, n=23, r=1, m=28, rp=0 ---------> -5.88913e+11
t=0, n=24, r=1, m=28, rp=0 ---------> 1.55815e+11
t=1, n=24, r=1, m=28, rp=0 ---------> -8.94964e+11
t=0, n=25, r=1, m=28, rp=0 ---------> -4.33242e+11
t=1, n=25, r=1, m=28, rp=0 ---------> -6.2792e+11
t=0, n=26, r=1, m=28, rp=0 ---------> 2.12157e+11
t=1, n=26, r=1, m=28, rp=0 ---------> -4.22568e+11
t=0, n=27, r=1, m=28, rp=0 ---------> -9.62183e+11
t=1, n=27, r=1, m=28, rp=0 ---------> -3.10794e+11
