t=0, n=0, m=0, rp=0 ---------> 1.04784e-309
t=1, n=0, m=0, rp=0 ---------> 0
t=0, n=1, m=0, rp=0 ---------> 2.4397e-319
t=1, n=1, m=0, rp=0 ---------> 0
t=0, n=2, m=0, rp=0 ---------> 0
t=1, n=2, m=0, rp=0 ---------> 0
t=0, n=3, m=0, rp=0 ---------> -5.33065e+09
t=1, n=3, m=0, rp=0 ---------> 8.82707e+11
t=0, n=4, m=0, rp=0 ---------> 2.68318e+11
t=1, n=4, m=0, rp=0 ---------> 5.79242e+11
t=0, n=5, m=0, rp=0 ---------> 7.99238e+10
t=1, n=5, m=0, rp=0 ---------> 4.06972e+11
t=0, n=6, m=0, rp=0 ---------> 1.03496e+11
t=1, n=6, m=0, rp=0 ---------> 8.11671e+11
t=0, n=7, m=0, rp=0 ---------> 2.86697e+11
t=1, n=7, m=0, rp=0 ---------> 4.77897e+11
t=0, n=8, m=0, rp=0 ---------> -1.50978e+11
t=1, n=8, m=0, rp=0 ---------> 7.32142e+11
t=0, n=9, m=0, rp=0 ---------> 2.26004e+09
t=1, n=9, m=0, rp=0 ---------> 1.30732e+12
t=0, n=10, m=0, rp=0 ---------> 7.46724e+09
t=1, n=10, m=0, rp=0 ---------> 4.98566e+11
t=0, n=11, m=0, rp=0 ---------> 2.18912e+11
t=1, n=11, m=0, rp=0 ---------> 5.22303e+11
t=0, n=12, m=0, rp=0 ---------> 2.05033e+11
t=1, n=12, m=0, rp=0 ---------> 7.951e+11
t=0, n=13, m=0, rp=0 ---------> 2.48895e+11
t=1, n=13, m=0, rp=0 ---------> 8.84972e+11
t=0, n=14, m=0, rp=0 ---------> -5.12507e+11
t=1, n=14, m=0, rp=0 ---------> 4.27946e+11
t=0, n=15, m=0, rp=0 ---------> 3.77948e+10
t=1, n=15, m=0, rp=0 ---------> 5.75302e+11
t=0, n=16, m=0, rp=0 ---------> 1.34964e+11
t=1, n=16, m=0, rp=0 ---------> 3.17041e+11
t=0, n=17, m=0, rp=0 ---------> 1.07174e+11
t=1, n=17, m=0, rp=0 ---------> 1.29188e+12
t=0, n=18, m=0, rp=0 ---------> 1.93592e+11
t=1, n=18, m=0, rp=0 ---------> 4.90158e+11
t=0, n=19, m=0, rp=0 ---------> 1.12732e+11
t=1, n=19, m=0, rp=0 ---------> -2.2601e+11
t=0, n=20, m=0, rp=0 ---------> 6.57443e+10
t=1, n=20, m=0, rp=0 ---------> 2.49861e+11
t=0, n=21, m=0, rp=0 ---------> -5.18246e+10
t=1, n=21, m=0, rp=0 ---------> -6.26025e+10
t=0, n=22, m=0, rp=0 ---------> 4.01231e+11
t=1, n=22, m=0, rp=0 ---------> 5.7255e+11
t=0, n=23, m=0, rp=0 ---------> 1.04784e-309
t=1, n=23, m=0, rp=0 ---------> 6.49135e+11
t=0, n=24, m=0, rp=0 ---------> 1.08388e+11
t=1, n=24, m=0, rp=0 ---------> 7.09678e+11
t=0, n=25, m=0, rp=0 ---------> -8.16646e+09
t=1, n=25, m=0, rp=0 ---------> 6.19918e+11
t=0, n=26, m=0, rp=0 ---------> 1.85961e+11
t=1, n=26, m=0, rp=0 ---------> 3.38716e+11
t=0, n=27, m=0, rp=0 ---------> 1.14918e+10
t=1, n=27, m=0, rp=0 ---------> 6.31763e+11
t=0, n=28, m=0, rp=0 ---------> 2.75723e+11
t=1, n=28, m=0, rp=0 ---------> 9.38757e+11
t=0, n=29, m=0, rp=0 ---------> -1.06149e+10
t=1, n=29, m=0, rp=0 ---------> 4.42272e+11
t=0, n=30, m=0, rp=0 ---------> -1.49439e+11
t=1, n=30, m=0, rp=0 ---------> 1.07679e+12
t=0, n=31, m=0, rp=0 ---------> -4.84148e+10
t=1, n=31, m=0, rp=0 ---------> 3.24464e+11
t=0, n=32, m=0, rp=0 ---------> -7.63325e+10
t=1, n=32, m=0, rp=0 ---------> 3.50947e+11
