t=1, n=31, r=0, m=11, rp=0 ---------> 0.000171527
t=0, n=32, r=0, m=11, rp=0 ---------> 0.000126066
t=1, n=32, r=0, m=11, rp=0 ---------> 4.97723e-05
t=0, n=33, r=0, m=11, rp=0 ---------> -2.06614e-05
t=1, n=33, r=0, m=11, rp=0 ---------> 5.18415e-05
t=0, n=34, r=0, m=11, rp=0 ---------> -0.000171114
t=1, n=34, r=0, m=11, rp=0 ---------> 0.000268467
t=0, n=35, r=0, m=11, rp=0 ---------> 2.82522e-05
t=1, n=35, r=0, m=11, rp=0 ---------> 4.86363e-05
t=0, n=36, r=0, m=11, rp=0 ---------> -4.70225e-06
t=1, n=36, r=0, m=11, rp=0 ---------> 6.69704e-05
t=0, n=37, r=0, m=11, rp=0 ---------> 4.71161e-05
t=1, n=37, r=0, m=11, rp=0 ---------> 9.62579e-05
t=0, n=38, r=0, m=11, rp=0 ---------> 8.85022e-05
t=1, n=38, r=0, m=11, rp=0 ---------> 5.95959e-07
t=0, n=39, r=0, m=11, rp=0 ---------> 0.000100869
t=1, n=39, r=0, m=11, rp=0 ---------> 6.09888e-05
t=0, n=40, r=0, m=11, rp=0 ---------> 0.000114291
t=1, n=40, r=0, m=11, rp=0 ---------> 2.1062e-05
t=0, n=41, r=0, m=11, rp=0 ---------> 4.82077e-05
t=1, n=41, r=0, m=11, rp=0 ---------> 2.4341e-05
t=0, n=42, r=0, m=11, rp=0 ---------> -2.4839e-05
t=1, n=42, r=0, m=11, rp=0 ---------> 0.000146878
t=0, n=43, r=0, m=11, rp=0 ---------> -6.3526e-05
t=1, n=43, r=0, m=11, rp=0 ---------> 0.000109829
t=0, n=44, r=0, m=11, rp=0 ---------> -9.0152e-06
t=1, n=44, r=0, m=11, rp=0 ---------> 1.94572e-05
t=0, n=0, r=1, m=11, rp=0 ---------> 0.000309241
t=1, n=0, r=1, m=11, rp=0 ---------> 0.000612303
t=0, n=1, r=1, m=11, rp=0 ---------> 0.00151866
t=1, n=1, r=1, m=11, rp=0 ---------> 9.26642e-05
t=0, n=2, r=1, m=11, rp=0 ---------> -0.00082402
t=1, n=2, r=1, m=11, rp=0 ---------> -7.98515e-05
t=0, n=3, r=1, m=11, rp=0 ---------> 0.000317813
t=1, n=3, r=1, m=11, rp=0 ---------> 0.000501305
t=0, n=4, r=1, m=11, rp=0 ---------> -0.000833069
t=1, n=4, r=1, m=11, rp=0 ---------> 0.000309231
t=0, n=5, r=1, m=11, rp=0 ---------> 0.000369648
t=1, n=5, r=1, m=11, rp=0 ---------> 0.000717276
t=0, n=6, r=1, m=11, rp=0 ---------> 0.00170415
t=1, n=6, r=1, m=11, rp=0 ---------> 0.000286783
t=0, n=7, r=1, m=11, rp=0 ---------> 0.000745109
t=1, n=7, r=1, m=11, rp=0 ---------> 0.000138982
t=0, n=8, r=1, m=11, rp=0 ---------> 7.38772e-06
t=1, n=8, r=1, m=11, rp=0 ---------> 0.000591691
t=0, n=9, r=1, m=11, rp=0 ---------> 0.0010005
t=1, n=9, r=1, m=11, rp=0 ---------> 0.00015452
t=0, n=10, r=1, m=11, rp=0 ---------> 0.000690439
t=1, n=10, r=1, m=11, rp=0 ---------> 0.000247959
t=0, n=11, r=1, m=11, rp=0 ---------> 0.00121836
t=1, n=11, r=1, m=11, rp=0 ---------> 0.000542115
t=0, n=12, r=1, m=11, rp=0 ---------> 0.000731573
t=1, n=12, r=1, m=11, rp=0 ---------> 0.000257481
t=0, n=13, r=1, m=11, rp=0 ---------> 0.00174809
t=1, n=13, r=1, m=11, rp=0 ---------> -0.000304288
t=0, n=14, r=1, m=11, rp=0 ---------> -0.000565995
t=1, n=14, r=1, m=11, rp=0 ---------> 0.000723414
t=0, n=15, r=1, m=11, rp=0 ---------> -0.00145817
t=1, n=15, r=1, m=11, rp=0 ---------> 0.000663291
t=0, n=16, r=1, m=11, rp=0 ---------> 0.000298669
t=1, n=16, r=1, m=11, rp=0 ---------> 0.000708955
t=0, n=17, r=1, m=11, rp=0 ---------> 0.00146681
t=1, n=17, r=1, m=11, rp=0 ---------> 0.000366195
t=0, n=18, r=1, m=11, rp=0 ---------> 0.000519717
t=1, n=18, r=1, m=11, rp=0 ---------> 0.000158426
t=0, n=19, r=1, m=11, rp=0 ---------> -0.000986742
t=1, n=19, r=1, m=11, rp=0 ---------> 0.000141588
t=0, n=20, r=1, m=11, rp=0 ---------> -0.000384034
t=1, n=20, r=1, m=11, rp=0 ---------> 0.000548021
t=0, n=21, r=1, m=11, rp=0 ---------> -0.000174098
t=1, n=21, r=1, m=11, rp=0 ---------> 0.000497989
t=0, n=22, r=1, m=11, rp=0 ---------> -0.000176988
t=1, n=22, r=1, m=11, rp=0 ---------> 0.000956504
t=0, n=23, r=1, m=11, rp=0 ---------> 0.000180487
t=1, n=23, r=1, m=11, rp=0 ---------> 0.000163122
t=0, n=24, r=1, m=11, rp=0 ---------> -0.00121029
t=1, n=24, r=1, m=11, rp=0 ---------> 0.00090169
t=0, n=25, r=1, m=11, rp=0 ---------> -0.000347131
t=1, n=25, r=1, m=11, rp=0 ---------> 0.000350524
t=0, n=26, r=1, m=11, rp=0 ---------> 0.00121103
t=1, n=26, r=1, m=11, rp=0 ---------> 0.000549111
t=0, n=27, r=1, m=11, rp=0 ---------> -0.000160892
t=1, n=27, r=1, m=11, rp=0 ---------> 0.000211894
t=0, n=28, r=1, m=11, rp=0 ---------> 0.00142484
t=1, n=28, r=1, m=11, rp=0 ---------> 0.000558483
t=0, n=29, r=1, m=11, rp=0 ---------> -0.00100101
t=1, n=29, r=1, m=11, rp=0 ---------> 0.000442178
t=0, n=30, r=1, m=11, rp=0 ---------> 7.10869e-05
t=1, n=30, r=1, m=11, rp=0 ---------> 0.000457396
t=0, n=31, r=1, m=11, rp=0 ---------> -0.000864922
t=1, n=31, r=1, m=11, rp=0 ---------> 0.00036648
t=0, n=32, r=1, m=11, rp=0 ---------> -0.00203336
t=1, n=32, r=1, m=11, rp=0 ---------> 0.000687328
t=0, n=33, r=1, m=11, rp=0 ---------> 0.000609081
t=1, n=33, r=1, m=11, rp=0 ---------> 5.66337e-05
t=0, n=34, r=1, m=11, rp=0 ---------> 0.000414031
t=1, n=34, r=1, m=11, rp=0 ---------> 0.000280697
t=0, n=35, r=1, m=11, rp=0 ---------> -8.5223e-06
t=1, n=35, r=1, m=11, rp=0 ---------> 0.000120207
t=0, n=36, r=1, m=11, rp=0 ---------> -0.000402367
t=1, n=36, r=1, m=11, rp=0 ---------> 0.000318369
t=0, n=37, r=1, m=11, rp=0 ---------> -0.000894526
t=1, n=37, r=1, m=11, rp=0 ---------> 0.00103945
t=0, n=38, r=1, m=11, rp=0 ---------> 0.000323819
t=1, n=38, r=1, m=11, rp=0 ---------> 0.00059061
t=0, n=39, r=1, m=11, rp=0 ---------> -0.0011677
t=1, n=39, r=1, m=11, rp=0 ---------> 0.000515332
t=0, n=40, r=1, m=11, rp=0 ---------> -0.000700191
t=1, n=40, r=1, m=11, rp=0 ---------> -7.41861e-05
t=0, n=41, r=1, m=11, rp=0 ---------> -3.91991e-05
t=1, n=41, r=1, m=11, rp=0 ---------> 0.000435887
t=0, n=42, r=1, m=11, rp=0 ---------> 0.000566145
t=1, n=42, r=1, m=11, rp=0 ---------> 0.000852054
t=0, n=43, r=1, m=11, rp=0 ---------> 0.00151447
t=1, n=43, r=1, m=11, rp=0 ---------> 0.000563448
t=0, n=44, r=1, m=11, rp=0 ---------> 0.000137934
t=1, n=44, r=1, m=11, rp=0 ---------> 0.000632968
t=0, n=0, r=2, m=11, rp=0 ---------> 0.000421049
t=1, n=0, r=2, m=11, rp=0 ---------> 0.000188614
t=0, n=1, r=2, m=11, rp=0 ---------> 0.000151091
t=1, n=1, r=2, m=11, rp=0 ---------> 0.000210423
t=0, n=2, r=2, m=11, rp=0 ---------> -7.35745e-05
t=1, n=2, r=2, m=11, rp=0 ---------> 0.000152596
t=0, n=3, r=2, m=11, rp=0 ---------> 0.000191437
t=1, n=3, r=2, m=11, rp=0 ---------> 0.000247689
t=0, n=4, r=2, m=11, rp=0 ---------> 0.000243188
t=1, n=4, r=2, m=11, rp=0 ---------> -2.63455e-05
t=0, n=5, r=2, m=11, rp=0 ---------> 0.0003128
t=1, n=5, r=2, m=11, rp=0 ---------> 0.000139494
t=0, n=6, r=2, m=11, rp=0 ---------> 0.000307493
t=1, n=6, r=2, m=11, rp=0 ---------> 0.000293486
t=0, n=7, r=2, m=11, rp=0 ---------> 0.000223923
t=1, n=7, r=2, m=11, rp=0 ---------> 0.000150536
t=0, n=8, r=2, m=11, rp=0 ---------> 0.000108215
t=1, n=8, r=2, m=11, rp=0 ---------> 0.000233141
t=0, n=9, r=2, m=11, rp=0 ---------> 0.00019623
t=1, n=9, r=2, m=11, rp=0 ---------> 0.000372394
t=0, n=10, r=2, m=11, rp=0 ---------> 0.000176557
t=1, n=10, r=2, m=11, rp=0 ---------> 0.000144998
t=0, n=11, r=2, m=11, rp=0 ---------> 0.000299
t=1, n=11, r=2, m=11, rp=0 ---------> 9.8578e-05
t=0, n=12, r=2, m=11, rp=0 ---------> 0.0001405
t=1, n=12, r=2, m=11, rp=0 ---------> 6.39662e-05
t=0, n=13, r=2, m=11, rp=0 ---------> 0.00020905
t=1, n=13, r=2, m=11, rp=0 ---------> 0.000285113
t=0, n=14, r=2, m=11, rp=0 ---------> 0.000241355
t=1, n=14, r=2, m=11, rp=0 ---------> 0.000257681
t=0, n=15, r=2, m=11, rp=0 ---------> 2.95329e-05
t=1, n=15, r=2, m=11, rp=0 ---------> -1.75108e-05
t=0, n=16, r=2, m=11, rp=0 ---------> 5.16765e-05
t=1, n=16, r=2, m=11, rp=0 ---------> 8.47259e-06
t=0, n=17, r=2, m=11, rp=0 ---------> 0.000116412
t=1, n=17, r=2, m=11, rp=0 ---------> 0.00010743
t=0, n=18, r=2, m=11, rp=0 ---------> 0.00014123
t=1, n=18, r=2, m=11, rp=0 ---------> -6.03553e-05
t=0, n=19, r=2, m=11, rp=0 ---------> 0.000157863
t=1, n=19, r=2, m=11, rp=0 ---------> -4.52808e-05
t=0, n=20, r=2, m=11, rp=0 ---------> 0.000235288
t=1, n=20, r=2, m=11, rp=0 ---------> 9.59718e-05
t=0, n=21, r=2, m=11, rp=0 ---------> 0.000195454
t=1, n=21, r=2, m=11, rp=0 ---------> 2.10124e-06
t=0, n=22, r=2, m=11, rp=0 ---------> 0.000559737
t=1, n=22, r=2, m=11, rp=0 ---------> 0.000194157
t=0, n=23, r=2, m=11, rp=0 ---------> 0.000122837
t=1, n=23, r=2, m=11, rp=0 ---------> 0.000172439
t=0, n=24, r=2, m=11, rp=0 ---------> 0.00034875
t=1, n=24, r=2, m=11, rp=0 ---------> 8.95618e-05
t=0, n=25, r=2, m=11, rp=0 ---------> 0.000180283
t=1, n=25, r=2, m=11, rp=0 ---------> 0.000262477
t=0, n=26, r=2, m=11, rp=0 ---------> 0.000267166
t=1, n=26, r=2, m=11, rp=0 ---------> 0.000123757
t=0, n=27, r=2, m=11, rp=0 ---------> 6.15924e-05
t=1, n=27, r=2, m=11, rp=0 ---------> 0.00015036
t=0, n=28, r=2, m=11, rp=0 ---------> 0.000252275
t=1, n=28, r=2, m=11, rp=0 ---------> 9.566e-05
t=0, n=29, r=2, m=11, rp=0 ---------> 0.000154304
t=1, n=29, r=2, m=11, rp=0 ---------> 1.61183e-06
t=0, n=30, r=2, m=11, rp=0 ---------> 6.35144e-05
t=1, n=30, r=2, m=11, rp=0 ---------> 0.000100535
t=0, n=31, r=2, m=11, rp=0 ---------> 0.000302673
t=1, n=31, r=2, m=11, rp=0 ---------> 9.12623e-05
t=0, n=32, r=2, m=11, rp=0 ---------> 0.000168932
t=1, n=32, r=2, m=11, rp=0 ---------> 3.04034e-05
t=0, n=33, r=2, m=11, rp=0 ---------> 2.1481e-05
t=1, n=33, r=2, m=11, rp=0 ---------> 8.72981e-05
t=0, n=34, r=2, m=11, rp=0 ---------> 0.000197743
t=1, n=34, r=2, m=11, rp=0 ---------> 1.54224e-05
t=0, n=35, r=2, m=11, rp=0 ---------> 8.36555e-05
t=1, n=35, r=2, m=11, rp=0 ---------> 0.00011892
t=0, n=36, r=2, m=11, rp=0 ---------> 0.000214451
t=1, n=36, r=2, m=11, rp=0 ---------> 2.37214e-06
t=0, n=37, r=2, m=11, rp=0 ---------> 0.000279368
t=1, n=37, r=2, m=11, rp=0 ---------> 0.000224057
t=0, n=38, r=2, m=11, rp=0 ---------> 0.000247146
t=1, n=38, r=2, m=11, rp=0 ---------> 9.36241e-05
t=0, n=39, r=2, m=11, rp=0 ---------> 0.000121621
t=1, n=39, r=2, m=11, rp=0 ---------> 3.28438e-05
t=0, n=40, r=2, m=11, rp=0 ---------> -9.29763e-06
t=1, n=40, r=2, m=11, rp=0 ---------> 8.60327e-05
t=0, n=41, r=2, m=11, rp=0 ---------> 0.000114886
t=1, n=41, r=2, m=11, rp=0 ---------> 1.98186e-05
t=0, n=42, r=2, m=11, rp=0 ---------> 0.000250919
t=1, n=42, r=2, m=11, rp=0 ---------> 0.000102031
t=0, n=43, r=2, m=11, rp=0 ---------> 0.000153753
t=1, n=43, r=2, m=11, rp=0 ---------> 7.91402e-05
t=0, n=44, r=2, m=11, rp=0 ---------> -9.0152e-06
t=1, n=44, r=2, m=11, rp=0 ---------> 1.94572e-05
t=0, n=0, r=3, m=11, rp=0 ---------> -0.00290044
t=1, n=0, r=3, m=11, rp=0 ---------> 0.000614719
t=0, n=1, r=3, m=11, rp=0 ---------> -0.00293058
t=1, n=1, r=3, m=11, rp=0 ---------> -6.54645e-05
t=0, n=2, r=3, m=11, rp=0 ---------> -0.00217403
t=1, n=2, r=3, m=11, rp=0 ---------> -0.000398893
t=0, n=3, r=3, m=11, rp=0 ---------> -0.00239106
t=1, n=3, r=3, m=11, rp=0 ---------> 2.01197e-05
t=0, n=4, r=3, m=11, rp=0 ---------> -0.00220222
t=1, n=4, r=3, m=11, rp=0 ---------> -0.000450745
t=0, n=5, r=3, m=11, rp=0 ---------> -0.002104
t=1, n=5, r=3, m=11, rp=0 ---------> 0.000383914
t=0, n=6, r=3, m=11, rp=0 ---------> -0.00144198
t=1, n=6, r=3, m=11, rp=0 ---------> 0.000813766
t=0, n=7, r=3, m=11, rp=0 ---------> -0.0011233
t=1, n=7, r=3, m=11, rp=0 ---------> -0.00018197
t=0, n=8, r=3, m=11, rp=0 ---------> -0.00293672
t=1, n=8, r=3, m=11, rp=0 ---------> 3.23735e-05
t=0, n=9, r=3, m=11, rp=0 ---------> -0.00286934
t=1, n=9, r=3, m=11, rp=0 ---------> 0.000866087
t=0, n=10, r=3, m=11, rp=0 ---------> -0.000770613
t=1, n=10, r=3, m=11, rp=0 ---------> 0.00042518
t=0, n=11, r=3, m=11, rp=0 ---------> -0.00214099
t=1, n=11, r=3, m=11, rp=0 ---------> 0.000811547
t=0, n=12, r=3, m=11, rp=0 ---------> -0.00178535
t=1, n=12, r=3, m=11, rp=0 ---------> 0.000314268
t=0, n=13, r=3, m=11, rp=0 ---------> -0.00143968
t=1, n=13, r=3, m=11, rp=0 ---------> 0.000580408
t=0, n=14, r=3, m=11, rp=0 ---------> -0.00246599
t=1, n=14, r=3, m=11, rp=0 ---------> 0.000712223
t=0, n=15, r=3, m=11, rp=0 ---------> -0.00229256
t=1, n=15, r=3, m=11, rp=0 ---------> -6.29353e-06
t=0, n=16, r=3, m=11, rp=0 ---------> -0.001738
t=1, n=16, r=3, m=11, rp=0 ---------> 0.000838064
t=0, n=17, r=3, m=11, rp=0 ---------> -0.00401975
t=1, n=17, r=3, m=11, rp=0 ---------> 0.000640015
t=0, n=18, r=3, m=11, rp=0 ---------> -0.00181647
t=1, n=18, r=3, m=11, rp=0 ---------> 0.000744981
t=0, n=19, r=3, m=11, rp=0 ---------> 0.000149041
t=1, n=19, r=3, m=11, rp=0 ---------> -1.63128e-05
t=0, n=20, r=3, m=11, rp=0 ---------> -0.00144519
t=1, n=20, r=3, m=11, rp=0 ---------> -6.20076e-05
t=0, n=21, r=3, m=11, rp=0 ---------> -0.00129447
t=1, n=21, r=3, m=11, rp=0 ---------> 7.50383e-05
t=0, n=22, r=3, m=11, rp=0 ---------> -0.00267259
t=1, n=22, r=3, m=11, rp=0 ---------> 6.07579e-05
t=0, n=23, r=3, m=11, rp=0 ---------> -0.00236986
t=1, n=23, r=3, m=11, rp=0 ---------> -0.000137263
t=0, n=24, r=3, m=11, rp=0 ---------> -0.00334128
t=1, n=24, r=3, m=11, rp=0 ---------> 0.000616105
t=0, n=25, r=3, m=11, rp=0 ---------> -0.00276087
t=1, n=25, r=3, m=11, rp=0 ---------> 0.000371311
t=0, n=26, r=3, m=11, rp=0 ---------> -0.00185641
t=1, n=26, r=3, m=11, rp=0 ---------> 0.000456386
t=0, n=27, r=3, m=11, rp=0 ---------> -0.00222526
t=1, n=27, r=3, m=11, rp=0 ---------> -0.000126846
t=0, n=28, r=3, m=11, rp=0 ---------> -0.00179093
t=1, n=28, r=3, m=11, rp=0 ---------> 0.00102223
t=0, n=29, r=3, m=11, rp=0 ---------> -0.00266393
t=1, n=29, r=3, m=11, rp=0 ---------> -0.000373
t=0, n=30, r=3, m=11, rp=0 ---------> -0.00255843
t=1, n=30, r=3, m=11, rp=0 ---------> 0.000760189
t=0, n=31, r=3, m=11, rp=0 ---------> -0.000633605
t=1, n=31, r=3, m=11, rp=0 ---------> 0.000635891
t=0, n=32, r=3, m=11, rp=0 ---------> -0.00108073
t=1, n=32, r=3, m=11, rp=0 ---------> -3.75846e-05
t=0, n=33, r=3, m=11, rp=0 ---------> -0.00131538
t=1, n=33, r=3, m=11, rp=0 ---------> 0.000254695
t=0, n=34, r=3, m=11, rp=0 ---------> -0.00363384
t=1, n=34, r=3, m=11, rp=0 ---------> 0.000907087
t=0, n=35, r=3, m=11, rp=0 ---------> -0.00122366
t=1, n=35, r=3, m=11, rp=0 ---------> 8.56218e-05
t=0, n=36, r=3, m=11, rp=0 ---------> -0.00063251
t=1, n=36, r=3, m=11, rp=0 ---------> -0.000113044
t=0, n=37, r=3, m=11, rp=0 ---------> -0.00125461
t=1, n=37, r=3, m=11, rp=0 ---------> 0.00063466
t=0, n=38, r=3, m=11, rp=0 ---------> -0.00124719
t=1, n=38, r=3, m=11, rp=0 ---------> 3.43949e-06
t=0, n=39, r=3, m=11, rp=0 ---------> -0.0021181
t=1, n=39, r=3, m=11, rp=0 ---------> -0.000586205
t=0, n=40, r=3, m=11, rp=0 ---------> -0.00148228
t=1, n=40, r=3, m=11, rp=0 ---------> 2.11473e-05
t=0, n=41, r=3, m=11, rp=0 ---------> -0.000328799
t=1, n=41, r=3, m=11, rp=0 ---------> -0.000125131
t=0, n=42, r=3, m=11, rp=0 ---------> -0.00255591
t=1, n=42, r=3, m=11, rp=0 ---------> 0.000393831
t=0, n=43, r=3, m=11, rp=0 ---------> -0.00127059
t=1, n=43, r=3, m=11, rp=0 ---------> 0.000563722
t=0, n=44, r=3, m=11, rp=0 ---------> 0.00043842
t=1, n=44, r=3, m=11, rp=0 ---------> -0.000778995
t=0, n=0, r=0, m=12, rp=0 ---------> 0.000159275
t=1, n=0, r=0, m=12, rp=0 ---------> 0.00028925
t=0, n=1, r=0, m=12, rp=0 ---------> 3.00108e-05
t=1, n=1, r=0, m=12, rp=0 ---------> -5.82705e-06
t=0, n=2, r=0, m=12, rp=0 ---------> -1.51201e-05
t=1, n=2, r=0, m=12, rp=0 ---------> -5.76465e-06
t=0, n=3, r=0, m=12, rp=0 ---------> 6.17708e-05
t=1, n=3, r=0, m=12, rp=0 ---------> 9.90808e-05
t=0, n=4, r=0, m=12, rp=0 ---------> 5.85507e-05
t=1, n=4, r=0, m=12, rp=0 ---------> 0.000151009
t=0, n=5, r=0, m=12, rp=0 ---------> 2.85316e-05
t=1, n=5, r=0, m=12, rp=0 ---------> 9.98133e-05
t=0, n=6, r=0, m=12, rp=0 ---------> 0.000100376
t=1, n=6, r=0, m=12, rp=0 ---------> 0.000125949
t=0, n=7, r=0, m=12, rp=0 ---------> 8.04567e-05
t=1, n=7, r=0, m=12, rp=0 ---------> 8.95704e-05
t=0, n=8, r=0, m=12, rp=0 ---------> 6.03748e-05
t=1, n=8, r=0, m=12, rp=0 ---------> 0.00012007
t=0, n=9, r=0, m=12, rp=0 ---------> 9.77847e-05
t=1, n=9, r=0, m=12, rp=0 ---------> 0.000177841
t=0, n=10, r=0, m=12, rp=0 ---------> 3.76676e-05
t=1, n=10, r=0, m=12, rp=0 ---------> 1.39903e-05
t=0, n=11, r=0, m=12, rp=0 ---------> 1.75517e-05
t=1, n=11, r=0, m=12, rp=0 ---------> 0.000134195
t=0, n=12, r=0, m=12, rp=0 ---------> 6.49903e-05
t=1, n=12, r=0, m=12, rp=0 ---------> 7.68621e-05
t=0, n=13, r=0, m=12, rp=0 ---------> 7.06256e-05
t=1, n=13, r=0, m=12, rp=0 ---------> 4.40599e-05
t=0, n=14, r=0, m=12, rp=0 ---------> 4.56938e-05
t=1, n=14, r=0, m=12, rp=0 ---------> 0.000165034
t=0, n=15, r=0, m=12, rp=0 ---------> 5.84156e-05
t=1, n=15, r=0, m=12, rp=0 ---------> 0.000222724
t=0, n=16, r=0, m=12, rp=0 ---------> 8.40216e-05
t=1, n=16, r=0, m=12, rp=0 ---------> 0.000169491
t=0, n=17, r=0, m=12, rp=0 ---------> 3.96462e-05
t=1, n=17, r=0, m=12, rp=0 ---------> 5.3924e-05
t=0, n=18, r=0, m=12, rp=0 ---------> 0.000111107
t=1, n=18, r=0, m=12, rp=0 ---------> 0.000127577
t=0, n=19, r=0, m=12, rp=0 ---------> 4.16441e-06
t=1, n=19, r=0, m=12, rp=0 ---------> 9.16454e-05
t=0, n=20, r=0, m=12, rp=0 ---------> 3.66598e-05
t=1, n=20, r=0, m=12, rp=0 ---------> 0.000106333
t=0, n=21, r=0, m=12, rp=0 ---------> -2.33548e-05
t=1, n=21, r=0, m=12, rp=0 ---------> 2.15101e-05
t=0, n=22, r=0, m=12, rp=0 ---------> 9.03601e-05
t=1, n=22, r=0, m=12, rp=0 ---------> 0.000261193
t=0, n=23, r=0, m=12, rp=0 ---------> 3.3266e-05
t=1, n=23, r=0, m=12, rp=0 ---------> 3.02186e-05
t=0, n=24, r=0, m=12, rp=0 ---------> 0.00013813
t=1, n=24, r=0, m=12, rp=0 ---------> 0.000288536
t=0, n=25, r=0, m=12, rp=0 ---------> 6.58538e-05
t=1, n=25, r=0, m=12, rp=0 ---------> 0.000139741
t=0, n=26, r=0, m=12, rp=0 ---------> -2.95509e-06
t=1, n=26, r=0, m=12, rp=0 ---------> 7.40855e-05
t=0, n=27, r=0, m=12, rp=0 ---------> 8.88284e-06
t=1, n=27, r=0, m=12, rp=0 ---------> 7.46585e-05
t=0, n=28, r=0, m=12, rp=0 ---------> 0.000163758
t=1, n=28, r=0, m=12, rp=0 ---------> 0.000217436
t=0, n=29, r=0, m=12, rp=0 ---------> 5.28137e-05
t=1, n=29, r=0, m=12, rp=0 ---------> 0.000148716
t=0, n=30, r=0, m=12, rp=0 ---------> 0.000119172
t=1, n=30, r=0, m=12, rp=0 ---------> 0.000195422
t=0, n=31, r=0, m=12, rp=0 ---------> 2.50468e-06
t=1, n=31, r=0, m=12, rp=0 ---------> 0.000168052
t=0, n=32, r=0, m=12, rp=0 ---------> 4.04774e-05
t=1, n=32, r=0, m=12, rp=0 ---------> 0.000228398
t=0, n=33, r=0, m=12, rp=0 ---------> -1.76688e-05
t=1, n=33, r=0, m=12, rp=0 ---------> -2.49923e-05
t=0, n=34, r=0, m=12, rp=0 ---------> 4.36249e-05
t=1, n=34, r=0, m=12, rp=0 ---------> 0.00011487
t=0, n=35, r=0, m=12, rp=0 ---------> 2.6132e-05
t=1, n=35, r=0, m=12, rp=0 ---------> 5.35187e-05
t=0, n=36, r=0, m=12, rp=0 ---------> 5.63702e-05
t=1, n=36, r=0, m=12, rp=0 ---------> 0.000131924
t=0, n=37, r=0, m=12, rp=0 ---------> 5.24088e-05
t=1, n=37, r=0, m=12, rp=0 ---------> 0.000208064
t=0, n=38, r=0, m=12, rp=0 ---------> 3.59756e-05
t=1, n=38, r=0, m=12, rp=0 ---------> 0.000114516
t=0, n=39, r=0, m=12, rp=0 ---------> 1.63256e-05
t=1, n=39, r=0, m=12, rp=0 ---------> 0.000128353
t=0, n=40, r=0, m=12, rp=0 ---------> 6.67172e-05
t=1, n=40, r=0, m=12, rp=0 ---------> 9.95961e-05
t=0, n=41, r=0, m=12, rp=0 ---------> 5.3482e-05
t=1, n=41, r=0, m=12, rp=0 ---------> 0.00012301
t=0, n=42, r=0, m=12, rp=0 ---------> 5.81045e-05
t=1, n=42, r=0, m=12, rp=0 ---------> 0.000185351
t=0, n=43, r=0, m=12, rp=0 ---------> 3.54343e-05
t=1, n=43, r=0, m=12, rp=0 ---------> 0.00010524
t=0, n=44, r=0, m=12, rp=0 ---------> -2.91318e-06
t=1, n=44, r=0, m=12, rp=0 ---------> 2.49594e-07
t=0, n=0, r=1, m=12, rp=0 ---------> 0.000501451
t=1, n=0, r=1, m=12, rp=0 ---------> 0.000415554
t=0, n=1, r=1, m=12, rp=0 ---------> -0.000943931
t=1, n=1, r=1, m=12, rp=0 ---------> 0.000242528
t=0, n=2, r=1, m=12, rp=0 ---------> -0.000450609
t=1, n=2, r=1, m=12, rp=0 ---------> 0.000688229
t=0, n=3, r=1, m=12, rp=0 ---------> -0.000931432
t=1, n=3, r=1, m=12, rp=0 ---------> 0.00124459
t=0, n=4, r=1, m=12, rp=0 ---------> 0.000225147
t=1, n=4, r=1, m=12, rp=0 ---------> 0.000602719
t=0, n=5, r=1, m=12, rp=0 ---------> 0.000555166
t=1, n=5, r=1, m=12, rp=0 ---------> 0.00110366
t=0, n=6, r=1, m=12, rp=0 ---------> -0.00119774
t=1, n=6, r=1, m=12, rp=0 ---------> 0.000812124
t=0, n=7, r=1, m=12, rp=0 ---------> -0.000571018
t=1, n=7, r=1, m=12, rp=0 ---------> 0.00030065
t=0, n=8, r=1, m=12, rp=0 ---------> -0.000396067
t=1, n=8, r=1, m=12, rp=0 ---------> 0.00127086
t=0, n=9, r=1, m=12, rp=0 ---------> -0.000162092
t=1, n=9, r=1, m=12, rp=0 ---------> -0.000219757
t=0, n=10, r=1, m=12, rp=0 ---------> -0.000103306
t=1, n=10, r=1, m=12, rp=0 ---------> 0.000826307
t=0, n=11, r=1, m=12, rp=0 ---------> 0.00102495
t=1, n=11, r=1, m=12, rp=0 ---------> -0.000167741
t=0, n=12, r=1, m=12, rp=0 ---------> -0.000112049
t=1, n=12, r=1, m=12, rp=0 ---------> 0.000658697
t=0, n=13, r=1, m=12, rp=0 ---------> -0.000628857
t=1, n=13, r=1, m=12, rp=0 ---------> 0.000213548
t=0, n=14, r=1, m=12, rp=0 ---------> 0.000941756
t=1, n=14, r=1, m=12, rp=0 ---------> 0.000208087
t=0, n=15, r=1, m=12, rp=0 ---------> 0.000517005
t=1, n=15, r=1, m=12, rp=0 ---------> 0.000702046
t=0, n=16, r=1, m=12, rp=0 ---------> 0.000453105
t=1, n=16, r=1, m=12, rp=0 ---------> 0.000552749
t=0, n=17, r=1, m=12, rp=0 ---------> 0.000234085
t=1, n=17, r=1, m=12, rp=0 ---------> -0.000285005
t=0, n=18, r=1, m=12, rp=0 ---------> 0.000485206
t=1, n=18, r=1, m=12, rp=0 ---------> -0.000327354
t=0, n=19, r=1, m=12, rp=0 ---------> 0.000711228
t=1, n=19, r=1, m=12, rp=0 ---------> 2.95956e-05
t=0, n=20, r=1, m=12, rp=0 ---------> 0.000223154
t=1, n=20, r=1, m=12, rp=0 ---------> 0.00100622
