t=0, n=13, m=1, rp=0 ---------> 1.04784e-309
t=1, n=13, m=1, rp=0 ---------> 0
t=0, n=14, m=1, rp=0 ---------> 1.04784e-309
t=1, n=14, m=1, rp=0 ---------> 0
t=0, n=15, m=1, rp=0 ---------> 1.04784e-309
t=1, n=15, m=1, rp=0 ---------> 0
t=0, n=16, m=1, rp=0 ---------> 1.04784e-309
t=1, n=16, m=1, rp=0 ---------> 0
t=0, n=17, m=1, rp=0 ---------> 1.04784e-309
t=1, n=17, m=1, rp=0 ---------> 0
t=0, n=18, m=1, rp=0 ---------> 1.04784e-309
t=1, n=18, m=1, rp=0 ---------> 0
t=0, n=19, m=1, rp=0 ---------> 1.04784e-309
t=1, n=19, m=1, rp=0 ---------> 0
t=0, n=20, m=1, rp=0 ---------> 1.04784e-309
t=1, n=20, m=1, rp=0 ---------> 0
t=0, n=21, m=1, rp=0 ---------> 1.04784e-309
t=1, n=21, m=1, rp=0 ---------> 0
t=0, n=22, m=1, rp=0 ---------> 0
t=1, n=22, m=1, rp=0 ---------> 0
t=0, n=23, m=1, rp=0 ---------> 1.04784e-309
t=1, n=23, m=1, rp=0 ---------> 0
t=0, n=24, m=1, rp=0 ---------> 1.04784e-309
t=1, n=24, m=1, rp=0 ---------> 0
t=0, n=25, m=1, rp=0 ---------> 1.04784e-309
t=1, n=25, m=1, rp=0 ---------> 0
t=0, n=26, m=1, rp=0 ---------> 1.04784e-309
t=1, n=26, m=1, rp=0 ---------> 0
t=0, n=27, m=1, rp=0 ---------> 1.04784e-309
t=1, n=27, m=1, rp=0 ---------> 0
t=0, n=28, m=1, rp=0 ---------> 1.04784e-309
t=1, n=28, m=1, rp=0 ---------> 0
t=0, n=29, m=1, rp=0 ---------> 1.04784e-309
t=1, n=29, m=1, rp=0 ---------> 0
t=0, n=30, m=1, rp=0 ---------> 1.04784e-309
t=1, n=30, m=1, rp=0 ---------> 0
t=0, n=31, m=1, rp=0 ---------> 1.04784e-309
t=1, n=31, m=1, rp=0 ---------> 0
t=0, n=32, m=1, rp=0 ---------> 1.04784e-309
t=1, n=32, m=1, rp=0 ---------> 0
t=0, n=33, m=1, rp=0 ---------> 1.04784e-309
t=1, n=33, m=1, rp=0 ---------> 0
t=0, n=34, m=1, rp=0 ---------> 1.04784e-309
t=1, n=34, m=1, rp=0 ---------> 0
t=0, n=35, m=1, rp=0 ---------> 1.04784e-309
t=1, n=35, m=1, rp=0 ---------> 0
t=0, n=36, m=1, rp=0 ---------> 1.04784e-309
t=1, n=36, m=1, rp=0 ---------> 0
t=0, n=37, m=1, rp=0 ---------> 1.04784e-309
t=1, n=37, m=1, rp=0 ---------> 0
t=0, n=38, m=1, rp=0 ---------> 1.04784e-309
