t=0, n=8, m=1, rp=0 ---------> -1.0108e+12
t=1, n=8, m=1, rp=0 ---------> -2.24912e+11
t=0, n=9, m=1, rp=0 ---------> -2.62431e+11
t=1, n=9, m=1, rp=0 ---------> 8.48609e+10
t=0, n=10, m=1, rp=0 ---------> -1.79178e+11
t=1, n=10, m=1, rp=0 ---------> 1.09987e+11
t=0, n=11, m=1, rp=0 ---------> -8.39655e+11
t=1, n=11, m=1, rp=0 ---------> 2.15532e+11
t=0, n=12, m=1, rp=0 ---------> -5.16386e+11
t=1, n=12, m=1, rp=0 ---------> 3.32468e+10
t=0, n=13, m=1, rp=0 ---------> 2.57e+10
t=1, n=13, m=1, rp=0 ---------> -5.74761e+10
t=0, n=14, m=1, rp=0 ---------> -9.42257e+11
t=1, n=14, m=1, rp=0 ---------> -3.03261e+11
t=0, n=15, m=1, rp=0 ---------> -8.44336e+11
t=1, n=15, m=1, rp=0 ---------> 6.64655e+10
t=0, n=16, m=1, rp=0 ---------> -8.22836e+11
t=1, n=16, m=1, rp=0 ---------> -4.5787e+10
t=0, n=17, m=1, rp=0 ---------> -1.46772e+12
t=1, n=17, m=1, rp=0 ---------> -2.35666e+11
t=0, n=18, m=1, rp=0 ---------> -6.64256e+11
t=1, n=18, m=1, rp=0 ---------> 1.11982e+10
t=0, n=19, m=1, rp=0 ---------> 2.63766e+11
t=1, n=19, m=1, rp=0 ---------> 2.89529e+11
t=0, n=20, m=1, rp=0 ---------> -5.45499e+11
t=1, n=20, m=1, rp=0 ---------> 1.49681e+11
t=0, n=21, m=1, rp=0 ---------> -7.17581e+11
t=1, n=21, m=1, rp=0 ---------> -3.43146e+10
t=0, n=22, m=1, rp=0 ---------> -7.38845e+11
t=1, n=22, m=1, rp=0 ---------> 5.16055e+11
t=0, n=23, m=1, rp=0 ---------> -1.0741e+12
t=1, n=23, m=1, rp=0 ---------> -1.61263e+11
t=0, n=24, m=1, rp=0 ---------> -1.16664e+12
t=1, n=24, m=1, rp=0 ---------> 7.34666e+10
t=0, n=25, m=1, rp=0 ---------> -8.83342e+11
t=1, n=25, m=1, rp=0 ---------> -1.07408e+11
t=0, n=26, m=1, rp=0 ---------> -7.87761e+11
t=1, n=26, m=1, rp=0 ---------> 1.87993e+11
t=0, n=27, m=1, rp=0 ---------> -5.70545e+11
t=1, n=27, m=1, rp=0 ---------> -2.27862e+11
t=0, n=28, m=1, rp=0 ---------> -2.23719e+11
t=1, n=28, m=1, rp=0 ---------> 2.96993e+11
t=0, n=29, m=1, rp=0 ---------> -1.17912e+12
t=1, n=29, m=1, rp=0 ---------> -1.61769e+11
t=0, n=30, m=1, rp=0 ---------> -4.56286e+11
t=1, n=30, m=1, rp=0 ---------> 1.81872e+11
t=0, n=31, m=1, rp=0 ---------> -2.57851e+11
t=1, n=31, m=1, rp=0 ---------> 3.29257e+11
t=0, n=32, m=1, rp=0 ---------> 1.52016e+10
t=1, n=32, m=1, rp=0 ---------> 2.99487e+11
t=0, n=33, m=1, rp=0 ---------> -5.42306e+11
t=1, n=33, m=1, rp=0 ---------> -1.66151e+11
t=0, n=34, m=1, rp=0 ---------> -1.33035e+12
t=1, n=34, m=1, rp=0 ---------> -8.62933e+10
t=0, n=35, m=1, rp=0 ---------> -3.422e+11
t=1, n=35, m=1, rp=0 ---------> -7.53175e+10
t=0, n=36, m=1, rp=0 ---------> 2.98565e+10
t=1, n=36, m=1, rp=0 ---------> 2.30463e+11
